query_id,domain,question_type,run,faithfulness,answer_relevancy,context_recall,context_precision
SUP_QA_0043,Superalloys,single,1,0.848,0.8206,0.8304,0.9525
SUP_QA_0044,Superalloys,multi,1,0.9544,0.8878,0.9432,0.995
SUP_QA_0045,Superalloys,single,1,0.8113,0.8141,0.8301,0.9501
SUP_QA_0046,Superalloys,single,1,0.716,0.6808,0.7539,0.8194
SUP_QA_0047,Superalloys,multi,1,0.9513,0.9004,0.9345,0.9736
SUP_QA_0048,Superalloys,single,1,0.9902,0.9664,0.9628,0.9863
SUP_QA_0049,Superalloys,multi,1,0.8835,0.8477,0.9572,0.934
SUP_QA_0050,Superalloys,single,1,0.9902,0.9432,0.995,0.9797
SUP_QA_0051,Superalloys,single,1,0.9806,0.9713,0.995,0.995
SUP_QA_0052,Superalloys,single,1,0.8378,0.8826,0.8598,0.9354
SUP_QA_0053,Superalloys,single,1,0.9412,0.8397,0.9802,0.9895
SUP_QA_0054,Superalloys,multi,1,0.96,0.9374,0.995,0.982
SUP_QA_0055,Superalloys,single,1,0.8392,0.8213,0.8834,0.9495
SUP_QA_0056,Superalloys,single,1,0.8861,0.9118,0.945,0.8791
SUP_QA_0057,Superalloys,single,1,0.8572,0.9124,0.8782,0.9452
SUP_QA_0058,Superalloys,single,1,0.8766,0.9276,0.9368,0.995
SUP_QA_0059,Superalloys,single,1,0.9699,0.9745,0.995,0.995
SUP_QA_0060,Superalloys,single,1,0.7869,0.7309,0.832,0.8046
SUP_QA_0061,Superalloys,single,1,0.8091,0.8963,0.9096,0.9252
SUP_QA_0062,Superalloys,multi,1,0.6825,0.5963,0.736,0.7921
SUP_QA_0063,Superalloys,single,1,0.98,0.995,0.9724,0.9712
SUP_QA_0064,Superalloys,multi,1,0.9808,0.995,0.9805,0.9763
SUP_QA_0065,Superalloys,single,1,0.972,0.995,0.9928,0.9766
SUP_QA_0066,Superalloys,single,1,0.9874,0.995,0.9633,0.995
SUP_QA_0067,Superalloys,multi,1,0.9577,0.8022,0.9204,0.9403
SUP_QA_0068,Superalloys,single,1,0.9831,0.995,0.995,0.9831
SUP_QA_0069,Superalloys,single,1,0.9003,0.8981,0.9343,0.9546
SUP_QA_0070,Superalloys,multi,1,0.7849,0.8008,0.8816,0.9005
SUP_QA_0071,Superalloys,single,1,0.9462,0.8193,0.842,0.955
SUP_QA_0072,Superalloys,multi,1,0.9484,0.909,0.9867,0.9741
SUP_QA_0073,Superalloys,multi,1,0.7077,0.6821,0.7138,0.7608
SUP_QA_0074,Superalloys,multi,1,0.9868,0.945,0.9709,0.9864
SUP_QA_0075,Superalloys,single,1,0.9682,0.9507,0.995,0.988
SUP_QA_0076,Superalloys,single,1,0.8985,0.8395,0.9383,0.9618
SUP_QA_0077,Superalloys,multi,1,0.9784,0.99,0.9947,0.9869
SUP_QA_0078,Superalloys,single,1,0.6594,0.6546,0.7532,0.7572
SUP_QA_0079,Superalloys,single,1,0.988,0.9274,0.995,0.995
SUP_QA_0080,Superalloys,multi,1,0.9902,0.995,0.9644,0.9899
SUP_QA_0081,Superalloys,multi,1,0.8341,0.8048,0.8887,0.8925
SUP_QA_0082,Superalloys,multi,1,0.9714,0.995,0.995,0.995
SUP_QA_0083,Superalloys,single,1,0.776,0.7389,0.8407,0.6747
SUP_QA_0084,Superalloys,single,1,0.9643,0.9725,0.9888,0.995
SUP_QA_0085,Superalloys,single,1,0.9595,0.995,0.995,0.9923
SUP_QA_0086,Superalloys,single,1,0.9706,0.995,0.9756,0.9948
SUP_QA_0087,Superalloys,multi,1,0.9902,0.995,0.9891,0.994
SUP_QA_0088,Superalloys,single,1,0.8638,0.8566,0.8971,0.9525
SUP_QA_0089,Superalloys,single,1,0.9902,0.9201,0.9847,0.995
SUP_QA_0090,Superalloys,single,1,0.7961,0.8603,0.9298,0.9519
SUP_QA_0091,Superalloys,multi,1,0.9773,0.8223,0.8642,0.958
SUP_QA_0092,Superalloys,single,1,0.7508,0.574,0.7166,0.7909
SUP_QA_0093,Superalloys,multi,1,0.988,0.9411,0.98,0.9637
SUP_QA_0094,Superalloys,multi,1,0.974,0.995,0.995,0.9867
SUP_QA_0095,Superalloys,multi,1,0.9827,0.8082,0.8839,0.9499
SUP_QA_0096,Superalloys,single,1,0.9704,0.995,0.9761,0.9853
SUP_QA_0097,Superalloys,multi,1,0.8899,0.8706,0.8777,0.9428
SUP_QA_0098,Superalloys,single,1,0.6795,0.6679,0.726,0.7573
SUP_QA_0099,Superalloys,single,1,0.9741,0.995,0.9766,0.995
SUP_QA_0100,Superalloys,multi,1,0.7123,0.6428,0.8221,0.8251
SUP_QA_0101,Superalloys,single,1,0.8868,0.892,0.995,0.9394
SUP_QA_0102,Superalloys,multi,1,0.9746,0.9653,0.9064,0.9266
SUP_QA_0103,Superalloys,multi,1,0.9728,0.995,0.9802,0.9854
SUP_QA_0104,Superalloys,single,1,0.7704,0.8213,0.9082,0.882
SUP_QA_0105,Superalloys,single,1,0.9902,0.995,0.9854,0.995
SUP_QA_0106,Superalloys,single,1,0.9085,0.8568,0.8707,0.9417
SUP_QA_0107,Superalloys,single,1,0.8811,0.8489,0.9594,0.8872
SUP_QA_0108,Superalloys,single,1,0.9341,0.9427,0.9594,0.9509
SUP_QA_0109,Superalloys,single,1,0.9269,0.9225,0.831,0.9316
SUP_QA_0110,Superalloys,single,1,0.9902,0.9838,0.9804,0.9726
SUP_QA_0111,Superalloys,single,1,0.9826,0.9218,0.9122,0.9525
SUP_QA_0112,Superalloys,multi,1,0.982,0.995,0.995,0.995
SUP_QA_0113,Superalloys,single,1,0.8772,0.9387,0.8155,0.9836
SUP_QA_0114,Superalloys,single,1,0.6971,0.6349,0.675,0.7305
SUP_QA_0115,Superalloys,multi,1,0.8952,0.9017,0.9616,0.937
SUP_QA_0116,Superalloys,multi,1,0.9762,0.9607,0.957,0.9819
SUP_QA_0117,Superalloys,multi,1,0.9324,0.9758,0.995,0.9871
SUP_QA_0118,Superalloys,single,1,0.8759,0.825,0.901,0.976
SUP_QA_0119,Superalloys,single,1,0.9902,0.995,0.9777,0.995
SUP_QA_0120,Superalloys,single,1,0.7883,0.7183,0.8178,0.9038
SUP_QA_0121,Superalloys,single,1,0.7254,0.7608,0.7929,0.7359
SUP_QA_0122,Superalloys,single,1,0.983,0.995,0.995,0.995
SUP_QA_0123,Superalloys,single,1,0.9847,0.9926,0.995,0.9929
SUP_QA_0124,Superalloys,single,1,0.6785,0.7399,0.7539,0.875
SUP_QA_0125,Superalloys,multi,1,0.864,0.9529,0.8741,0.9504
SUP_QA_0126,Superalloys,multi,1,0.839,0.7625,0.8195,0.8167
SUP_QA_0127,Superalloys,single,1,0.9855,0.9702,0.9645,0.9792
SUP_QA_0128,Superalloys,multi,1,0.9613,0.9315,0.9674,0.9368
SUP_QA_0129,Superalloys,multi,1,0.7739,0.827,0.9333,0.8888
SUP_QA_0130,Superalloys,multi,1,0.9902,0.995,0.9775,0.987
SUP_QA_0131,Superalloys,single,1,0.9902,0.8845,0.995,0.9788
SUP_QA_0132,Superalloys,multi,1,0.9902,0.995,0.9765,0.9838
SEM_QA_0001,Semiconductors,single,1,0.8411,0.9588,0.923,0.9179
SEM_QA_0002,Semiconductors,single,1,0.9707,0.8926,0.8667,0.9626
SEM_QA_0003,Semiconductors,single,1,0.8477,0.8531,0.842,0.9017
SEM_QA_0004,Semiconductors,single,1,0.9902,0.995,0.9686,0.9711
SEM_QA_0005,Semiconductors,multi,1,0.9386,0.8772,0.9117,0.9492
SEM_QA_0006,Semiconductors,multi,1,0.8326,0.8887,0.9191,0.9316
SEM_QA_0007,Semiconductors,single,1,0.8715,0.9307,0.8888,0.9371
SEM_QA_0008,Semiconductors,single,1,0.766,0.8688,0.9108,0.9102
SEM_QA_0009,Semiconductors,single,1,0.9826,0.995,0.9822,0.9785
SEM_QA_0010,Semiconductors,single,1,0.7863,0.8146,0.7956,0.776
SEM_QA_0011,Semiconductors,single,1,0.6186,0.4858,0.5784,0.6477
SEM_QA_0012,Semiconductors,single,1,0.9711,0.9119,0.8545,0.9325
SEM_QA_0013,Semiconductors,multi,1,0.9766,0.9909,0.995,0.9884
SEM_QA_0014,Semiconductors,single,1,0.9803,0.995,0.9825,0.9796
SEM_QA_0015,Semiconductors,multi,1,0.9678,0.995,0.9899,0.995
SEM_QA_0016,Semiconductors,single,1,0.7903,0.7362,0.7652,0.8389
SEM_QA_0017,Semiconductors,single,1,0.9048,0.9724,0.9614,0.9642
SEM_QA_0018,Semiconductors,multi,1,0.9249,0.8758,0.8937,0.9764
SEM_QA_0019,Semiconductors,single,1,0.9902,0.995,0.985,0.995
SEM_QA_0020,Semiconductors,single,1,0.8646,0.9061,0.9388,0.9762
SEM_QA_0021,Semiconductors,single,1,0.9232,0.8881,0.995,0.995
SEM_QA_0022,Semiconductors,single,1,0.9885,0.9938,0.995,0.995
SEM_QA_0023,Semiconductors,single,1,0.7942,0.7675,0.8581,0.9258
SEM_QA_0024,Semiconductors,multi,1,0.7092,0.73,0.6966,0.7982
SEM_QA_0025,Semiconductors,single,1,0.9668,0.9035,0.995,0.995
SEM_QA_0026,Semiconductors,single,1,0.9559,0.9673,0.9368,0.9848
SEM_QA_0027,Semiconductors,single,1,0.9814,0.9815,0.995,0.9681
SEM_QA_0028,Semiconductors,multi,1,0.9902,0.9927,0.953,0.9902
SEM_QA_0029,Semiconductors,single,1,0.9774,0.8874,0.9855,0.9422
SEM_QA_0030,Semiconductors,single,1,0.8277,0.7722,0.8354,0.8748
SEM_QA_0031,Semiconductors,multi,1,0.9879,0.995,0.995,0.989
SEM_QA_0032,Semiconductors,single,1,0.9243,0.8769,0.9534,0.9345
SEM_QA_0033,Semiconductors,multi,1,0.8081,0.7937,0.7972,0.7758
SEM_QA_0034,Semiconductors,multi,1,0.8369,0.9035,0.81,0.8571
SEM_QA_0035,Semiconductors,single,1,0.9655,0.995,0.9841,0.9846
SEM_QA_0036,Semiconductors,single,1,0.9753,0.995,0.9873,0.9393
SEM_QA_0037,Semiconductors,multi,1,0.9902,0.995,0.9881,0.9832
SEM_QA_0038,Semiconductors,single,1,0.7742,0.6463,0.7452,0.8463
SEM_QA_0039,Semiconductors,multi,1,0.7509,0.7758,0.8016,0.8345
SEM_QA_0040,Semiconductors,multi,1,0.9344,0.9185,0.935,0.9281
SEM_QA_0041,Semiconductors,single,1,0.9094,0.8574,0.9847,0.9807
SEM_QA_0042,Semiconductors,multi,1,0.9902,0.9907,0.9731,0.9824
SEM_QA_0043,Semiconductors,multi,1,0.8427,0.9099,0.8258,0.8892
SEM_QA_0044,Semiconductors,multi,1,0.7376,0.7785,0.7861,0.8625
SEM_QA_0045,Semiconductors,single,1,0.9295,0.9318,0.9674,0.9424
SEM_QA_0046,Semiconductors,single,1,0.8534,0.8083,0.9171,0.9235
SEM_QA_0047,Semiconductors,single,1,0.9825,0.995,0.9915,0.995
SEM_QA_0048,Semiconductors,multi,1,0.894,0.9044,0.8634,0.9698
SEM_QA_0049,Semiconductors,multi,1,0.6752,0.6862,0.6329,0.8176
SEM_QA_0050,Semiconductors,single,1,0.8074,0.8786,0.7964,0.848
SEM_QA_0051,Semiconductors,single,1,0.9227,0.9818,0.9885,0.995
SEM_QA_0052,Semiconductors,single,1,0.9659,0.995,0.9821,0.9833
SEM_QA_0053,Semiconductors,single,1,0.7498,0.8389,0.8079,0.8069
SEM_QA_0054,Semiconductors,single,1,0.7923,0.7128,0.8068,0.8462
SEM_QA_0055,Semiconductors,multi,1,0.7508,0.6814,0.7141,0.7351
SEM_QA_0056,Semiconductors,multi,1,0.9552,0.995,0.9669,0.995
SEM_QA_0057,Semiconductors,multi,1,0.8493,0.829,0.904,0.8718
SEM_QA_0058,Semiconductors,multi,1,0.986,0.995,0.9721,0.995
SEM_QA_0059,Semiconductors,single,1,0.734,0.8026,0.8463,0.8706
SEM_QA_0060,Semiconductors,single,1,0.89,0.7192,0.8454,0.9027
SEM_QA_0061,Semiconductors,single,1,0.9164,0.995,0.9796,0.9816
SEM_QA_0062,Semiconductors,single,1,0.9858,0.995,0.9591,0.9883
SEM_QA_0063,Semiconductors,multi,1,0.9107,0.9897,0.9827,0.9828
SEM_QA_0064,Semiconductors,multi,1,0.7652,0.9223,0.8202,0.8249
SEM_QA_0065,Semiconductors,single,1,0.8031,0.7711,0.8425,0.9221
SEM_QA_0066,Semiconductors,multi,1,0.8735,0.995,0.995,0.9698
SEM_QA_0067,Semiconductors,single,1,0.9773,0.995,0.9836,0.995
SEM_QA_0068,Semiconductors,multi,1,0.9696,0.995,0.9789,0.995
SEM_QA_0069,Semiconductors,multi,1,0.941,0.8543,0.8108,0.9323
SEM_QA_0070,Semiconductors,single,1,0.9511,0.9836,0.995,0.9848
SEM_QA_0071,Semiconductors,single,1,0.9473,0.995,0.9092,0.9912
SEM_QA_0072,Semiconductors,single,1,0.9288,0.995,0.9098,0.9293
SEM_QA_0073,Semiconductors,single,1,0.9902,0.995,0.9871,0.9907
SEM_QA_0074,Semiconductors,single,1,0.9255,0.995,0.9696,0.9188
SEM_QA_0075,Semiconductors,single,1,0.9194,0.9196,0.8777,0.995
SEM_QA_0076,Semiconductors,multi,1,0.7947,0.8571,0.8814,0.8793
SEM_QA_0077,Semiconductors,single,1,0.9509,0.9256,0.9064,0.9483
SEM_QA_0078,Semiconductors,single,1,0.9902,0.995,0.9906,0.995
SEM_QA_0079,Semiconductors,multi,1,0.9586,0.9907,0.973,0.9655
SEM_QA_0080,Semiconductors,single,1,0.9456,0.8631,0.995,0.9457
SEM_QA_0081,Semiconductors,single,1,0.9902,0.9603,0.9941,0.995
SEM_QA_0082,Semiconductors,single,1,0.9852,0.995,0.995,0.9757
SEM_QA_0083,Semiconductors,single,1,0.7214,0.7351,0.6643,0.7321
SEM_QA_0084,Semiconductors,multi,1,0.8344,0.8738,0.9544,0.9365
SEM_QA_0085,Semiconductors,single,1,0.9845,0.995,0.9943,0.9779
SEM_QA_0086,Semiconductors,multi,1,0.7817,0.8036,0.8782,0.8363
SEM_QA_0087,Semiconductors,multi,1,0.8961,0.9718,0.8817,0.9138
SEM_QA_0088,Semiconductors,single,1,0.8869,0.9139,0.9704,0.9682
SEM_QA_0089,Semiconductors,single,1,0.9277,0.9143,0.909,0.9617
SEM_QA_0090,Semiconductors,single,1,0.9489,0.995,0.995,0.9792
SEM_QA_0091,Semiconductors,single,1,0.8001,0.7039,0.7219,0.8178
SEM_QA_0092,Semiconductors,single,1,0.849,0.8302,0.9065,0.9417
SEM_QA_0093,Semiconductors,single,1,0.9765,0.977,0.991,0.9861
SEM_QA_0094,Semiconductors,single,1,0.9895,0.995,0.9813,0.9777
SEM_QA_0095,Semiconductors,multi,1,0.7523,0.7753,0.6222,0.8569
SEM_QA_0096,Semiconductors,multi,1,0.9902,0.995,0.955,0.995
SEM_QA_0097,Semiconductors,single,1,0.9902,0.995,0.995,0.9773
SEM_QA_0098,Semiconductors,single,1,0.9676,0.995,0.9741,0.9682
SEM_QA_0099,Semiconductors,single,1,0.9902,0.995,0.995,0.995
SEM_QA_0100,Semiconductors,multi,1,0.9265,0.9679,0.9457,0.995
SEM_QA_0101,Semiconductors,single,1,0.9246,0.995,0.995,0.9847
SEM_QA_0102,Semiconductors,single,1,0.968,0.9262,0.9586,0.9924
SEM_QA_0103,Semiconductors,multi,1,0.9902,0.995,0.9593,0.9855
SEM_QA_0104,Semiconductors,single,1,0.8533,0.7616,0.8616,0.8549
SEM_QA_0105,Semiconductors,multi,1,0.8285,0.8811,0.7792,0.955
SEM_QA_0106,Semiconductors,multi,1,0.9902,0.995,0.9832,0.995
SEM_QA_0107,Semiconductors,single,1,0.9836,0.995,0.9796,0.9745
SEM_QA_0108,Semiconductors,multi,1,0.7961,0.8535,0.8675,0.8074
SEM_QA_0109,Semiconductors,single,1,0.9686,0.9906,0.9651,0.9893
SEM_QA_0110,Semiconductors,multi,1,0.6626,0.7986,0.7799,0.7798
SEM_QA_0111,Semiconductors,single,1,0.9707,0.9855,0.9508,0.995
SEM_QA_0112,Semiconductors,single,1,0.9524,0.9411,0.9449,0.995
SEM_QA_0113,Semiconductors,single,1,0.8559,0.9431,0.8609,0.8861
SEM_QA_0114,Semiconductors,single,1,0.9816,0.995,0.9642,0.9922
SEM_QA_0115,Semiconductors,multi,1,0.9174,0.8579,0.7654,0.8351
SEM_QA_0116,Semiconductors,single,1,0.9902,0.995,0.984,0.9874
SEM_QA_0117,Semiconductors,multi,1,0.9902,0.995,0.995,0.995
SEM_QA_0118,Semiconductors,single,1,0.9794,0.9763,0.9514,0.995
SEM_QA_0119,Semiconductors,single,1,0.9564,0.9766,0.995,0.995
SEM_QA_0120,Semiconductors,single,1,0.8187,0.8926,0.7903,0.9163
SEM_QA_0121,Semiconductors,single,1,0.6103,0.7094,0.7714,0.7729
SEM_QA_0122,Semiconductors,single,1,0.9669,0.9675,0.9722,0.995
SEM_QA_0123,Semiconductors,single,1,0.8758,0.995,0.9708,0.995
SEM_QA_0124,Semiconductors,single,1,0.9491,0.9912,0.8901,0.9694
SEM_QA_0125,Semiconductors,single,1,0.9712,0.995,0.9764,0.9819
SEM_QA_0126,Semiconductors,multi,1,0.9607,0.995,0.9877,0.9666
BAT_QA_0001,Batteries,single,1,0.9047,0.84,0.8205,0.8832
BAT_QA_0002,Batteries,single,1,0.9902,0.995,0.9698,0.995
BAT_QA_0003,Batteries,multi,1,0.9834,0.995,0.9858,0.9759
BAT_QA_0004,Batteries,single,1,0.8343,0.995,0.995,0.9874
BAT_QA_0005,Batteries,single,1,0.9902,0.995,0.995,0.995
BAT_QA_0006,Batteries,single,1,0.9889,0.995,0.9674,0.9812
BAT_QA_0007,Batteries,multi,1,0.9562,0.899,0.9445,0.9932
BAT_QA_0008,Batteries,single,1,0.9902,0.995,0.995,0.9894
BAT_QA_0009,Batteries,single,1,0.9524,0.9515,0.9032,0.9585
BAT_QA_0010,Batteries,single,1,0.9902,0.995,0.9785,0.995
BAT_QA_0011,Batteries,single,1,0.9325,0.8973,0.8858,0.995
BAT_QA_0012,Batteries,single,1,0.8523,0.9016,0.9369,0.9391
BAT_QA_0013,Batteries,single,1,0.983,0.995,0.9766,0.9886
BAT_QA_0014,Batteries,multi,1,0.9902,0.9304,0.9789,0.995
BAT_QA_0015,Batteries,multi,1,0.9902,0.995,0.9652,0.983
BAT_QA_0016,Batteries,single,1,0.7308,0.6033,0.7535,0.7279
BAT_QA_0017,Batteries,multi,1,0.7097,0.9259,0.8934,0.9466
BAT_QA_0018,Batteries,single,1,0.6252,0.6748,0.6223,0.7155
BAT_QA_0019,Batteries,single,1,0.9585,0.995,0.9376,0.9847
BAT_QA_0020,Batteries,single,1,0.5345,0.5123,0.5177,0.5783
BAT_QA_0021,Batteries,single,1,0.7062,0.7998,0.7554,0.8593
BAT_QA_0022,Batteries,multi,1,0.7238,0.7657,0.745,0.8536
BAT_QA_0023,Batteries,single,1,0.9902,0.9658,0.9832,0.995
BAT_QA_0024,Batteries,single,1,0.8711,0.9718,0.8854,0.995
BAT_QA_0025,Batteries,single,1,0.9819,0.9853,0.945,0.9738
BAT_QA_0026,Batteries,multi,1,0.8692,0.8464,0.8673,0.8917
BAT_QA_0027,Batteries,single,1,0.9902,0.995,0.995,0.9932
BAT_QA_0028,Batteries,single,1,0.9566,0.995,0.947,0.9554
BAT_QA_0029,Batteries,single,1,0.9865,0.99,0.9835,0.9814
BAT_QA_0030,Batteries,single,1,0.9632,0.995,0.9834,0.9835
BAT_QA_0031,Batteries,multi,1,0.9844,0.995,0.995,0.995
BAT_QA_0032,Batteries,multi,1,0.9902,0.9722,0.923,0.9944
BAT_QA_0033,Batteries,single,1,0.9843,0.995,0.995,0.9799
BAT_QA_0034,Batteries,single,1,0.9073,0.9638,0.8748,0.9045
BAT_QA_0035,Batteries,multi,1,0.9774,0.995,0.9163,0.995
BAT_QA_0036,Batteries,single,1,0.9841,0.995,0.9944,0.995
BAT_QA_0037,Batteries,multi,1,0.8633,0.764,0.7814,0.8534
BAT_QA_0038,Batteries,single,1,0.9726,0.8844,0.9534,0.9829
BAT_QA_0039,Batteries,multi,1,0.8806,0.8538,0.7888,0.9054
BAT_QA_0040,Batteries,single,1,0.9902,0.995,0.995,0.9896
BAT_QA_0041,Batteries,single,1,0.8658,0.7864,0.8533,0.9469
BAT_QA_0042,Batteries,multi,1,0.8537,0.9329,0.851,0.9285
BAT_QA_0043,Batteries,single,1,0.9303,0.995,0.9783,0.9815
BAT_QA_0044,Batteries,single,1,0.9013,0.9904,0.9709,0.995
BAT_QA_0045,Batteries,multi,1,0.9902,0.995,0.9797,0.9949
BAT_QA_0046,Batteries,multi,1,0.7699,0.748,0.8202,0.7267
BAT_QA_0047,Batteries,single,1,0.9019,0.9113,0.8802,0.948
BAT_QA_0048,Batteries,single,1,0.9902,0.9249,0.9452,0.995
BAT_QA_0049,Batteries,single,1,0.8972,0.9218,0.8994,0.9832
BAT_QA_0050,Batteries,single,1,0.8577,0.8495,0.8719,0.953
BAT_QA_0051,Batteries,single,1,0.8421,0.7989,0.7409,0.8008
BAT_QA_0052,Batteries,single,1,0.8813,0.841,0.7703,0.8303
BAT_QA_0053,Batteries,single,1,0.8307,0.8916,0.7955,0.9246
BAT_QA_0054,Batteries,single,1,0.9902,0.995,0.9853,0.995
BAT_QA_0055,Batteries,single,1,0.8518,0.8308,0.808,0.951
BAT_QA_0056,Batteries,single,1,0.957,0.8889,0.967,0.9796
BAT_QA_0057,Batteries,multi,1,0.9556,0.9445,0.9772,0.995
BAT_QA_0058,Batteries,single,1,0.9425,0.9577,0.8447,0.9834
BAT_QA_0059,Batteries,single,1,0.9554,0.9707,0.9533,0.9802
BAT_QA_0060,Batteries,multi,1,0.764,0.7789,0.8452,0.8846
BAT_QA_0061,Batteries,single,1,0.7797,0.7837,0.83,0.8388
BAT_QA_0062,Batteries,multi,1,0.7793,0.6872,0.7318,0.826
BAT_QA_0063,Batteries,single,1,0.9902,0.9119,0.9184,0.9783
BAT_QA_0064,Batteries,single,1,0.9795,0.995,0.9771,0.9928
BAT_QA_0065,Batteries,single,1,0.964,0.995,0.9828,0.9702
BAT_QA_0066,Batteries,single,1,0.7976,0.8076,0.7715,0.8587
BAT_QA_0067,Batteries,single,1,0.8999,0.9079,0.8493,0.8838
BAT_QA_0068,Batteries,multi,1,0.9902,0.9384,0.995,0.9776
BAT_QA_0069,Batteries,single,1,0.7722,0.7073,0.7565,0.8731
BAT_QA_0070,Batteries,multi,1,0.9679,0.995,0.9931,0.9822
BAT_QA_0071,Batteries,single,1,0.9492,0.9029,0.9204,0.9775
BAT_QA_0072,Batteries,multi,1,0.9609,0.9794,0.9705,0.9909
BAT_QA_0073,Batteries,single,1,0.9902,0.995,0.9845,0.9774
BAT_QA_0074,Batteries,multi,1,0.7717,0.683,0.7736,0.7675
BAT_QA_0075,Batteries,single,1,0.9315,0.995,0.9391,0.9855
BAT_QA_0076,Batteries,multi,1,0.8676,0.7707,0.9294,0.858
BAT_QA_0077,Batteries,single,1,0.9857,0.995,0.995,0.995
BAT_QA_0078,Batteries,single,1,0.8986,0.968,0.9593,0.995
BAT_QA_0079,Batteries,multi,1,0.8615,0.8133,0.8362,0.8464
BAT_QA_0080,Batteries,single,1,0.9865,0.995,0.9846,0.9862
BAT_QA_0081,Batteries,single,1,0.9652,0.9183,0.9092,0.9925
BAT_QA_0082,Batteries,multi,1,0.9836,0.9345,0.9806,0.995
BAT_QA_0083,Batteries,single,1,0.6712,0.7964,0.8456,0.8707
BAT_QA_0084,Batteries,single,1,0.9537,0.9163,0.8968,0.9922
BAT_QA_0085,Batteries,multi,1,0.823,0.7093,0.7644,0.8829
BAT_QA_0086,Batteries,multi,1,0.9124,0.995,0.9659,0.995
BAT_QA_0087,Batteries,single,1,0.9522,0.9921,0.995,0.995
BAT_QA_0088,Batteries,single,1,0.9229,0.8944,0.8324,0.8406
BAT_QA_0089,Batteries,single,1,0.9902,0.995,0.995,0.9938
BAT_QA_0090,Batteries,single,1,0.9675,0.9579,0.9916,0.9744
BAT_QA_0091,Batteries,single,1,0.9902,0.995,0.995,0.9849
BAT_QA_0092,Batteries,single,1,0.8007,0.8745,0.8145,0.8965
BAT_QA_0093,Batteries,single,1,0.9537,0.8693,0.8267,0.9944
BAT_QA_0094,Batteries,single,1,0.7582,0.7249,0.8215,0.8592
