query_id,domain,question_type,run,faithfulness,answer_relevancy,context_recall,context_precision
SUP_QA_0045,Superalloys,single,1,0.8271,0.7658,0.8148,0.9299
SUP_QA_0046,Superalloys,single,1,0.7106,0.62,0.7148,0.78
SUP_QA_0047,Superalloys,multi,1,0.9583,0.8384,0.9497,0.9781
SUP_QA_0048,Superalloys,single,1,0.9921,0.9639,0.995,0.9892
SUP_QA_0049,Superalloys,multi,1,0.8673,0.8263,0.9662,0.9368
SUP_QA_0050,Superalloys,single,1,0.995,0.9462,0.995,0.995
SUP_QA_0051,Superalloys,single,1,0.9689,0.974,0.995,0.995
SUP_QA_0052,Superalloys,single,1,0.8453,0.8174,0.8198,0.9441
SUP_QA_0053,Superalloys,single,1,0.943,0.804,0.9576,0.995
SUP_QA_0054,Superalloys,multi,1,0.9639,0.9143,0.995,0.995
SUP_QA_0055,Superalloys,single,1,0.8565,0.7732,0.8573,0.9463
SUP_QA_0056,Superalloys,single,1,0.8861,0.8823,0.936,0.8946
SUP_QA_0057,Superalloys,single,1,0.8586,0.8775,0.8769,0.9234
SUP_QA_0058,Superalloys,single,1,0.8797,0.8834,0.9214,0.995
SUP_QA_0059,Superalloys,single,1,0.995,0.954,0.995,0.995
SUP_QA_0060,Superalloys,single,1,0.7637,0.6527,0.8159,0.7893
SUP_QA_0061,Superalloys,single,1,0.8081,0.8587,0.9225,0.9093
SUP_QA_0062,Superalloys,multi,1,0.6515,0.5216,0.7017,0.7577
SUP_QA_0063,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0064,Superalloys,multi,1,0.995,0.995,0.995,0.995
SUP_QA_0065,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0066,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0067,Superalloys,multi,1,0.9571,0.7565,0.9048,0.9594
SUP_QA_0068,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0069,Superalloys,single,1,0.8869,0.8484,0.9313,0.9551
SUP_QA_0070,Superalloys,multi,1,0.8049,0.726,0.8746,0.8756
SUP_QA_0071,Superalloys,single,1,0.9247,0.767,0.8509,0.9594
SUP_QA_0072,Superalloys,multi,1,0.9679,0.8737,0.995,0.9708
SUP_QA_0073,Superalloys,multi,1,0.6919,0.6263,0.6794,0.7485
SUP_QA_0074,Superalloys,multi,1,0.983,0.9218,0.9857,0.995
SUP_QA_0075,Superalloys,single,1,0.9603,0.9081,0.9913,0.995
SUP_QA_0076,Superalloys,single,1,0.9172,0.8152,0.9399,0.9722
SUP_QA_0077,Superalloys,multi,1,0.995,0.9925,0.995,0.995
SUP_QA_0078,Superalloys,single,1,0.6095,0.606,0.6871,0.7094
SUP_QA_0079,Superalloys,single,1,0.995,0.9078,0.995,0.995
SUP_QA_0080,Superalloys,multi,1,0.995,0.995,0.995,0.995
SUP_QA_0081,Superalloys,multi,1,0.8116,0.7428,0.8682,0.871
SUP_QA_0082,Superalloys,multi,1,0.995,0.995,0.995,0.995
SUP_QA_0083,Superalloys,single,1,0.7541,0.6504,0.8051,0.629
SUP_QA_0084,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0085,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0086,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0087,Superalloys,multi,1,0.995,0.995,0.995,0.995
SUP_QA_0088,Superalloys,single,1,0.8662,0.832,0.9071,0.957
SUP_QA_0089,Superalloys,single,1,0.995,0.8778,0.993,0.995
SUP_QA_0090,Superalloys,single,1,0.7834,0.8416,0.9371,0.9355
SUP_QA_0091,Superalloys,multi,1,0.9637,0.7695,0.8755,0.9511
SUP_QA_0092,Superalloys,single,1,0.709,0.4933,0.6872,0.7742
SUP_QA_0093,Superalloys,multi,1,0.995,0.9299,0.995,0.995
SUP_QA_0094,Superalloys,multi,1,0.995,0.995,0.995,0.995
SUP_QA_0095,Superalloys,multi,1,0.9885,0.7909,0.8655,0.949
SUP_QA_0096,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0097,Superalloys,multi,1,0.8766,0.8163,0.8637,0.9628
SUP_QA_0098,Superalloys,single,1,0.6603,0.5875,0.6958,0.7168
SUP_QA_0099,Superalloys,single,1,0.995,0.995,0.9806,0.995
SUP_QA_0100,Superalloys,multi,1,0.6505,0.5679,0.7855,0.7719
SUP_QA_0101,Superalloys,single,1,0.8859,0.8486,0.995,0.943
SUP_QA_0102,Superalloys,multi,1,0.9881,0.9522,0.8991,0.9332
SUP_QA_0103,Superalloys,multi,1,0.995,0.995,0.995,0.995
SUP_QA_0104,Superalloys,single,1,0.7546,0.7958,0.8737,0.8767
SUP_QA_0105,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0106,Superalloys,single,1,0.8984,0.8054,0.8624,0.9401
SUP_QA_0107,Superalloys,single,1,0.8873,0.8066,0.9604,0.8682
SUP_QA_0108,Superalloys,single,1,0.9266,0.8995,0.9535,0.9577
SUP_QA_0109,Superalloys,single,1,0.9236,0.917,0.8279,0.9303
SUP_QA_0110,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0111,Superalloys,single,1,0.9767,0.8893,0.9066,0.9523
SUP_QA_0112,Superalloys,multi,1,0.995,0.995,0.995,0.995
SUP_QA_0113,Superalloys,single,1,0.8414,0.8909,0.8121,0.9852
SUP_QA_0114,Superalloys,single,1,0.6402,0.5475,0.6381,0.6958
SUP_QA_0115,Superalloys,multi,1,0.8906,0.8962,0.9518,0.9581
SUP_QA_0116,Superalloys,multi,1,0.995,0.9205,0.9701,0.995
SUP_QA_0117,Superalloys,multi,1,0.9372,0.9651,0.9891,0.995
SUP_QA_0118,Superalloys,single,1,0.8739,0.7926,0.8907,0.9808
SUP_QA_0119,Superalloys,single,1,0.995,0.9827,0.995,0.995
SUP_QA_0120,Superalloys,single,1,0.7754,0.6752,0.8156,0.8959
SUP_QA_0121,Superalloys,single,1,0.7041,0.7098,0.7799,0.7322
SUP_QA_0122,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0123,Superalloys,single,1,0.995,0.995,0.995,0.995
SUP_QA_0124,Superalloys,single,1,0.6488,0.6655,0.7299,0.8485
SUP_QA_0125,Superalloys,multi,1,0.8745,0.9395,0.858,0.9653
SUP_QA_0126,Superalloys,multi,1,0.8035,0.6927,0.7859,0.7875
SUP_QA_0127,Superalloys,single,1,0.995,0.9693,0.995,0.995
SUP_QA_0128,Superalloys,multi,1,0.9718,0.9369,0.995,0.9592
SUP_QA_0129,Superalloys,multi,1,0.7279,0.7956,0.9206,0.8799
SUP_QA_0130,Superalloys,multi,1,0.995,0.9833,0.995,0.995
SUP_QA_0131,Superalloys,single,1,0.995,0.865,0.995,0.964
SUP_QA_0132,Superalloys,multi,1,0.995,0.995,0.995,0.9666
SUP_QA_0001,Superalloys,single,2,0.8723,0.8048,0.8709,0.8896
SUP_QA_0002,Superalloys,multi,2,0.995,0.995,0.995,0.995
SUP_QA_0003,Superalloys,multi,2,0.7744,0.7251,0.6525,0.8028
SUP_QA_0004,Superalloys,multi,2,0.6823,0.883,0.8928,0.9017
SUP_QA_0005,Superalloys,single,2,0.676,0.6683,0.811,0.804
SUP_QA_0006,Superalloys,single,2,0.9445,0.995,0.8921,0.9721
SUP_QA_0007,Superalloys,single,2,0.995,0.995,0.9932,0.995
SUP_QA_0008,Superalloys,single,2,0.995,0.9604,0.995,0.995
SUP_QA_0009,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0010,Superalloys,single,2,0.8903,0.8733,0.9253,0.9216
SUP_QA_0011,Superalloys,single,2,0.8747,0.845,0.9092,0.9464
SUP_QA_0012,Superalloys,single,2,0.7984,0.7884,0.857,0.9368
SUP_QA_0013,Superalloys,multi,2,0.8703,0.8106,0.8068,0.868
SUP_QA_0014,Superalloys,single,2,0.917,0.7459,0.9515,0.9357
SUP_QA_0015,Superalloys,single,2,0.9635,0.9079,0.995,0.9817
SUP_QA_0016,Superalloys,single,2,0.8488,0.8151,0.8712,0.89
SUP_QA_0017,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0018,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0019,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0020,Superalloys,single,2,0.9749,0.995,0.971,0.995
SUP_QA_0021,Superalloys,multi,2,0.995,0.995,0.995,0.995
SUP_QA_0022,Superalloys,single,2,0.7803,0.8249,0.8519,0.9144
SUP_QA_0023,Superalloys,single,2,0.9522,0.995,0.995,0.995
SUP_QA_0024,Superalloys,single,2,0.8035,0.8661,0.8932,0.9386
SUP_QA_0025,Superalloys,single,2,0.9081,0.9604,0.9842,0.995
SUP_QA_0026,Superalloys,single,2,0.8666,0.995,0.995,0.995
SUP_QA_0027,Superalloys,multi,2,0.7086,0.7441,0.8367,0.7809
SUP_QA_0028,Superalloys,multi,2,0.995,0.995,0.995,0.995
SUP_QA_0029,Superalloys,single,2,0.8374,0.8802,0.9312,0.8979
SUP_QA_0030,Superalloys,multi,2,0.7654,0.8304,0.8048,0.8638
SUP_QA_0031,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0032,Superalloys,single,2,0.8351,0.7907,0.8802,0.9504
SUP_QA_0033,Superalloys,single,2,0.8027,0.7729,0.8894,0.8895
SUP_QA_0034,Superalloys,multi,2,0.9903,0.995,0.865,0.995
SUP_QA_0035,Superalloys,single,2,0.9357,0.995,0.995,0.995
SUP_QA_0036,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0037,Superalloys,single,2,0.995,0.9874,0.995,0.995
SUP_QA_0038,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0039,Superalloys,single,2,0.9548,0.8115,0.8811,0.9304
SUP_QA_0040,Superalloys,multi,2,0.995,0.995,0.8747,0.995
SUP_QA_0041,Superalloys,single,2,0.995,0.995,0.9636,0.995
SUP_QA_0042,Superalloys,single,2,0.9449,0.995,0.995,0.995
SUP_QA_0043,Superalloys,single,2,0.8229,0.804,0.772,0.8901
SUP_QA_0044,Superalloys,multi,2,0.9397,0.8911,0.9758,0.9729
SUP_QA_0045,Superalloys,single,2,0.7577,0.7244,0.8167,0.9276
SUP_QA_0046,Superalloys,single,2,0.61,0.6471,0.7499,0.7284
SUP_QA_0047,Superalloys,multi,2,0.9083,0.8016,0.8942,0.9619
SUP_QA_0048,Superalloys,single,2,0.915,0.9638,0.995,0.995
SUP_QA_0049,Superalloys,multi,2,0.8244,0.908,0.9116,0.906
SUP_QA_0050,Superalloys,single,2,0.9521,0.9618,0.9621,0.995
SUP_QA_0051,Superalloys,single,2,0.8856,0.995,0.995,0.962
SUP_QA_0052,Superalloys,single,2,0.8372,0.7651,0.7885,0.9334
SUP_QA_0053,Superalloys,single,2,0.8887,0.8854,0.9517,0.995
SUP_QA_0054,Superalloys,multi,2,0.9218,0.9402,0.9411,0.9791
SUP_QA_0055,Superalloys,single,2,0.7878,0.7721,0.8419,0.941
SUP_QA_0056,Superalloys,single,2,0.8793,0.8742,0.9258,0.8768
SUP_QA_0057,Superalloys,single,2,0.8162,0.8555,0.8882,0.9301
SUP_QA_0058,Superalloys,single,2,0.8665,0.9488,0.9163,0.9421
SUP_QA_0059,Superalloys,single,2,0.9601,0.9577,0.995,0.995
SUP_QA_0060,Superalloys,single,2,0.7494,0.621,0.7869,0.7865
SUP_QA_0061,Superalloys,single,2,0.8533,0.8305,0.9702,0.9345
SUP_QA_0062,Superalloys,multi,2,0.5837,0.5639,0.6924,0.7154
SUP_QA_0063,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0064,Superalloys,multi,2,0.995,0.995,0.995,0.995
SUP_QA_0065,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0066,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0067,Superalloys,multi,2,0.9534,0.7484,0.9241,0.9281
SUP_QA_0068,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0069,Superalloys,single,2,0.8882,0.8032,0.9189,0.9222
SUP_QA_0070,Superalloys,multi,2,0.7329,0.7835,0.8256,0.8817
SUP_QA_0071,Superalloys,single,2,0.944,0.8825,0.8867,0.9106
SUP_QA_0072,Superalloys,multi,2,0.8999,0.8548,0.9709,0.9265
SUP_QA_0073,Superalloys,multi,2,0.6594,0.6206,0.6229,0.7797
SUP_QA_0074,Superalloys,multi,2,0.9481,0.995,0.995,0.995
SUP_QA_0075,Superalloys,single,2,0.9882,0.953,0.9209,0.995
SUP_QA_0076,Superalloys,single,2,0.8812,0.8495,0.9092,0.91
SUP_QA_0077,Superalloys,multi,2,0.9844,0.995,0.9375,0.995
SUP_QA_0078,Superalloys,single,2,0.6228,0.6721,0.6864,0.6631
SUP_QA_0079,Superalloys,single,2,0.9795,0.8962,0.95,0.9696
SUP_QA_0080,Superalloys,multi,2,0.995,0.995,0.995,0.995
SUP_QA_0081,Superalloys,multi,2,0.8451,0.7889,0.8589,0.8861
SUP_QA_0082,Superalloys,multi,2,0.9822,0.995,0.995,0.995
SUP_QA_0083,Superalloys,single,2,0.7646,0.6245,0.7659,0.5747
SUP_QA_0084,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0085,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0086,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0087,Superalloys,multi,2,0.995,0.995,0.995,0.995
SUP_QA_0088,Superalloys,single,2,0.8588,0.8225,0.8796,0.9255
SUP_QA_0089,Superalloys,single,2,0.9788,0.9166,0.9624,0.995
SUP_QA_0090,Superalloys,single,2,0.7791,0.9159,0.9227,0.9787
SUP_QA_0091,Superalloys,multi,2,0.9757,0.8186,0.9118,0.8969
SUP_QA_0092,Superalloys,single,2,0.6843,0.5727,0.6595,0.7109
SUP_QA_0093,Superalloys,multi,2,0.9625,0.9818,0.995,0.995
SUP_QA_0094,Superalloys,multi,2,0.995,0.995,0.995,0.995
SUP_QA_0095,Superalloys,multi,2,0.9527,0.7535,0.8349,0.9385
SUP_QA_0096,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0097,Superalloys,multi,2,0.8943,0.7396,0.8445,0.9382
SUP_QA_0098,Superalloys,single,2,0.6567,0.6163,0.7012,0.7245
SUP_QA_0099,Superalloys,single,2,0.995,0.988,0.9508,0.995
SUP_QA_0100,Superalloys,multi,2,0.6299,0.646,0.692,0.7644
SUP_QA_0101,Superalloys,single,2,0.9216,0.9369,0.9375,0.9232
SUP_QA_0102,Superalloys,multi,2,0.8964,0.9715,0.8911,0.9106
SUP_QA_0103,Superalloys,multi,2,0.995,0.995,0.995,0.995
SUP_QA_0104,Superalloys,single,2,0.7339,0.8399,0.8541,0.8293
SUP_QA_0105,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0106,Superalloys,single,2,0.8809,0.8317,0.8863,0.9075
SUP_QA_0107,Superalloys,single,2,0.871,0.8455,0.92,0.8099
SUP_QA_0108,Superalloys,single,2,0.8548,0.8629,0.9386,0.9559
SUP_QA_0109,Superalloys,single,2,0.8847,0.8953,0.8332,0.9462
SUP_QA_0110,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0111,Superalloys,single,2,0.9595,0.9001,0.8928,0.943
SUP_QA_0112,Superalloys,multi,2,0.9159,0.995,0.9852,0.9886
SUP_QA_0113,Superalloys,single,2,0.7884,0.8246,0.8182,0.9496
SUP_QA_0114,Superalloys,single,2,0.606,0.5659,0.6435,0.6629
SUP_QA_0115,Superalloys,multi,2,0.895,0.9033,0.9121,0.9427
SUP_QA_0116,Superalloys,multi,2,0.9532,0.937,0.917,0.9782
SUP_QA_0117,Superalloys,multi,2,0.9276,0.975,0.995,0.9659
SUP_QA_0118,Superalloys,single,2,0.9062,0.8506,0.9019,0.9525
SUP_QA_0119,Superalloys,single,2,0.995,0.9331,0.995,0.995
SUP_QA_0120,Superalloys,single,2,0.7517,0.6903,0.7901,0.8911
SUP_QA_0121,Superalloys,single,2,0.6922,0.6817,0.7606,0.7273
SUP_QA_0122,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0123,Superalloys,single,2,0.9578,0.995,0.995,0.995
SUP_QA_0124,Superalloys,single,2,0.6511,0.7003,0.7025,0.8668
SUP_QA_0125,Superalloys,multi,2,0.882,0.9657,0.8808,0.9567
SUP_QA_0126,Superalloys,multi,2,0.7673,0.7318,0.7011,0.8024
SUP_QA_0127,Superalloys,single,2,0.995,0.995,0.995,0.995
SUP_QA_0128,Superalloys,multi,2,0.9396,0.8928,0.9317,0.9471
SUP_QA_0129,Superalloys,multi,2,0.6487,0.8073,0.8684,0.8835
SUP_QA_0130,Superalloys,multi,2,0.995,0.995,0.995,0.995
SUP_QA_0131,Superalloys,single,2,0.995,0.9766,0.995,0.9816
SUP_QA_0132,Superalloys,multi,2,0.995,0.995,0.995,0.9323
SUP_QA_0001,Superalloys,single,3,0.8543,0.7938,0.847,0.8782
SUP_QA_0002,Superalloys,multi,3,0.995,0.995,0.995,0.995
SUP_QA_0003,Superalloys,multi,3,0.7459,0.691,0.7195,0.7615
SUP_QA_0004,Superalloys,multi,3,0.7425,0.792,0.9662,0.9041
SUP_QA_0005,Superalloys,single,3,0.6865,0.6755,0.8357,0.7244
SUP_QA_0006,Superalloys,single,3,0.9378,0.995,0.9222,0.9515
SUP_QA_0007,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0008,Superalloys,single,3,0.995,0.9154,0.995,0.995
SUP_QA_0009,Superalloys,single,3,0.995,0.9411,0.995,0.995
SUP_QA_0010,Superalloys,single,3,0.9083,0.8673,0.995,0.9407
SUP_QA_0011,Superalloys,single,3,0.9481,0.795,0.9688,0.9091
SUP_QA_0012,Superalloys,single,3,0.8688,0.7668,0.9257,0.916
SUP_QA_0013,Superalloys,multi,3,0.8864,0.7584,0.8868,0.8487
SUP_QA_0014,Superalloys,single,3,0.9262,0.8682,0.995,0.8862
SUP_QA_0015,Superalloys,single,3,0.9714,0.924,0.995,0.995
SUP_QA_0016,Superalloys,single,3,0.8887,0.8097,0.8579,0.8398
SUP_QA_0017,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0018,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0019,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0020,Superalloys,single,3,0.9645,0.9914,0.995,0.995
SUP_QA_0021,Superalloys,multi,3,0.995,0.995,0.995,0.995
SUP_QA_0022,Superalloys,single,3,0.8877,0.7843,0.8417,0.8344
SUP_QA_0023,Superalloys,single,3,0.9688,0.9736,0.995,0.995
SUP_QA_0024,Superalloys,single,3,0.8606,0.7637,0.9463,0.9173
SUP_QA_0025,Superalloys,single,3,0.91,0.9323,0.995,0.9791
SUP_QA_0026,Superalloys,single,3,0.9145,0.9428,0.995,0.995
SUP_QA_0027,Superalloys,multi,3,0.6916,0.6664,0.8227,0.7453
SUP_QA_0028,Superalloys,multi,3,0.995,0.995,0.995,0.995
SUP_QA_0029,Superalloys,single,3,0.8805,0.8188,0.9596,0.9016
SUP_QA_0030,Superalloys,multi,3,0.8474,0.7478,0.8359,0.8421
SUP_QA_0031,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0032,Superalloys,single,3,0.8725,0.7825,0.9427,0.9548
SUP_QA_0033,Superalloys,single,3,0.8429,0.7561,0.8985,0.8819
SUP_QA_0034,Superalloys,multi,3,0.995,0.9641,0.9076,0.995
SUP_QA_0035,Superalloys,single,3,0.9804,0.9683,0.995,0.995
SUP_QA_0036,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0037,Superalloys,single,3,0.995,0.9588,0.995,0.995
SUP_QA_0038,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0039,Superalloys,single,3,0.9415,0.7938,0.9014,0.8765
SUP_QA_0040,Superalloys,multi,3,0.995,0.995,0.9509,0.995
SUP_QA_0041,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0042,Superalloys,single,3,0.995,0.8708,0.995,0.995
SUP_QA_0043,Superalloys,single,3,0.818,0.7761,0.9132,0.9452
SUP_QA_0044,Superalloys,multi,3,0.9862,0.8782,0.947,0.927
SUP_QA_0045,Superalloys,single,3,0.7559,0.6874,0.8457,0.86
SUP_QA_0046,Superalloys,single,3,0.6691,0.6081,0.7493,0.7219
SUP_QA_0047,Superalloys,multi,3,0.995,0.7757,0.9537,0.9259
SUP_QA_0048,Superalloys,single,3,0.9769,0.9157,0.995,0.9788
SUP_QA_0049,Superalloys,multi,3,0.8789,0.7818,0.9711,0.9285
SUP_QA_0050,Superalloys,single,3,0.9938,0.9014,0.995,0.995
SUP_QA_0051,Superalloys,single,3,0.9008,0.9463,0.995,0.924
SUP_QA_0052,Superalloys,single,3,0.8658,0.7628,0.8216,0.8662
SUP_QA_0053,Superalloys,single,3,0.9287,0.8522,0.995,0.995
SUP_QA_0054,Superalloys,multi,3,0.9942,0.8633,0.995,0.9791
SUP_QA_0055,Superalloys,single,3,0.8394,0.7496,0.9095,0.8922
SUP_QA_0056,Superalloys,single,3,0.8842,0.9116,0.9808,0.8782
SUP_QA_0057,Superalloys,single,3,0.8114,0.8626,0.9311,0.9405
SUP_QA_0058,Superalloys,single,3,0.8952,0.8956,0.9749,0.9771
SUP_QA_0059,Superalloys,single,3,0.995,0.9651,0.995,0.995
SUP_QA_0060,Superalloys,single,3,0.7067,0.5741,0.8528,0.7767
SUP_QA_0061,Superalloys,single,3,0.8297,0.7878,0.9668,0.9098
SUP_QA_0062,Superalloys,multi,3,0.5421,0.5327,0.7231,0.7209
SUP_QA_0063,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0064,Superalloys,multi,3,0.995,0.995,0.995,0.995
SUP_QA_0065,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0066,Superalloys,single,3,0.995,0.9456,0.995,0.995
SUP_QA_0067,Superalloys,multi,3,0.959,0.7665,0.9163,0.9003
SUP_QA_0068,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0069,Superalloys,single,3,0.889,0.8082,0.9642,0.8941
SUP_QA_0070,Superalloys,multi,3,0.8121,0.6891,0.9049,0.8194
SUP_QA_0071,Superalloys,single,3,0.9488,0.7857,0.8788,0.9433
SUP_QA_0072,Superalloys,multi,3,0.9659,0.7998,0.995,0.9289
SUP_QA_0073,Superalloys,multi,3,0.6756,0.5875,0.7054,0.7139
SUP_QA_0074,Superalloys,multi,3,0.9385,0.9399,0.995,0.995
SUP_QA_0075,Superalloys,single,3,0.995,0.9183,0.995,0.995
SUP_QA_0076,Superalloys,single,3,0.8752,0.8767,0.8969,0.9219
SUP_QA_0077,Superalloys,multi,3,0.995,0.9854,0.9785,0.995
SUP_QA_0078,Superalloys,single,3,0.5955,0.5572,0.739,0.6102
SUP_QA_0079,Superalloys,single,3,0.995,0.9017,0.987,0.9563
SUP_QA_0080,Superalloys,multi,3,0.995,0.995,0.995,0.995
SUP_QA_0081,Superalloys,multi,3,0.8226,0.7398,0.972,0.8681
SUP_QA_0082,Superalloys,multi,3,0.995,0.995,0.995,0.995
SUP_QA_0083,Superalloys,single,3,0.7608,0.5748,0.797,0.5227
SUP_QA_0084,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0085,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0086,Superalloys,single,3,0.995,0.995,0.995,0.995
SUP_QA_0087,Superalloys,multi,3,0.995,0.995,0.995,0.995
SUP_QA_0088,Superalloys,single,3,0.8239,0.8293,0.9273,0.9422
SUP_QA_0089,Superalloys,single,3,0.9766,0.8525,0.995,0.9456
SUP_QA_0090,Superalloys,single,3,0.7945,0.854,0.9648,0.9219
SUP_QA_0091,Superalloys,multi,3,0.9419,0.8403,0.9002,0.8554
SUP_QA_0092,Superalloys,single,3,0.6273,0.4822,0.6467,0.7026
SUP_QA_0093,Superalloys,multi,3,0.9698,0.9424,0.995,0.9927
SUP_QA_0094,Superalloys,multi,3,0.995,0.995,0.995,0.995
SUP_QA_0095,Superalloys,multi,3,0.9395,0.7838,0.8274,0.9398
SUP_QA_0096,Superalloys,single,3,0.995,0.995,0.995,0.995
