query_id,domain,question_type,run,method,faithfulness,answer_relevancy,context_recall,context_precision
SUP_QA_0066,Superalloys,single,1,w/o Structure,0.993,0.995,0.995,0.9169
SUP_QA_0067,Superalloys,multi,1,w/o Structure,0.9029,0.719,0.8743,0.8494
SUP_QA_0068,Superalloys,single,1,w/o Structure,0.995,0.9871,0.9425,0.9209
SUP_QA_0069,Superalloys,single,1,w/o Structure,0.8733,0.814,0.9255,0.8653
SUP_QA_0070,Superalloys,multi,1,w/o Structure,0.7557,0.7166,0.8193,0.7392
SUP_QA_0071,Superalloys,single,1,w/o Structure,0.887,0.7476,0.7825,0.8779
SUP_QA_0072,Superalloys,multi,1,w/o Structure,0.9603,0.8191,0.995,0.8854
SUP_QA_0073,Superalloys,multi,1,w/o Structure,0.6698,0.5807,0.6201,0.566
SUP_QA_0074,Superalloys,multi,1,w/o Structure,0.9627,0.8876,0.951,0.8766
SUP_QA_0075,Superalloys,single,1,w/o Structure,0.9539,0.8916,0.9888,0.9319
SUP_QA_0076,Superalloys,single,1,w/o Structure,0.9094,0.8193,0.9165,0.8476
SUP_QA_0077,Superalloys,multi,1,w/o Structure,0.9944,0.991,0.9817,0.8939
SUP_QA_0078,Superalloys,single,1,w/o Structure,0.5531,0.5802,0.6154,0.5538
SUP_QA_0079,Superalloys,single,1,w/o Structure,0.9913,0.879,0.995,0.8957
SUP_QA_0080,Superalloys,multi,1,w/o Structure,0.9871,0.995,0.995,0.9108
SUP_QA_0081,Superalloys,multi,1,w/o Structure,0.7675,0.7575,0.8168,0.7432
SUP_QA_0082,Superalloys,multi,1,w/o Structure,0.9687,0.995,0.995,0.9606
SUP_QA_0083,Superalloys,single,1,w/o Structure,0.7193,0.6239,0.7654,0.4434
SUP_QA_0084,Superalloys,single,1,w/o Structure,0.995,0.995,0.9669,0.9033
SUP_QA_0085,Superalloys,single,1,w/o Structure,0.9532,0.995,0.995,0.9573
SUP_QA_0086,Superalloys,single,1,w/o Structure,0.9635,0.9815,0.995,0.9339
SUP_QA_0087,Superalloys,multi,1,w/o Structure,0.9626,0.995,0.995,0.9098
SUP_QA_0088,Superalloys,single,1,w/o Structure,0.8174,0.8045,0.8669,0.8372
SUP_QA_0089,Superalloys,single,1,w/o Structure,0.995,0.8312,0.995,0.946
SUP_QA_0090,Superalloys,single,1,w/o Structure,0.7785,0.8781,0.9153,0.8708
SUP_QA_0091,Superalloys,multi,1,w/o Structure,0.9327,0.7244,0.8061,0.8726
SUP_QA_0092,Superalloys,single,1,w/o Structure,0.646,0.3946,0.5827,0.6096
SUP_QA_0093,Superalloys,multi,1,w/o Structure,0.9734,0.8811,0.9461,0.9092
SUP_QA_0094,Superalloys,multi,1,w/o Structure,0.995,0.9643,0.9311,0.8862
SUP_QA_0095,Superalloys,multi,1,w/o Structure,0.9716,0.7309,0.787,0.9294
SUP_QA_0096,Superalloys,single,1,w/o Structure,0.9851,0.968,0.9224,0.8849
SUP_QA_0097,Superalloys,multi,1,w/o Structure,0.841,0.7586,0.8881,0.8846
SUP_QA_0098,Superalloys,single,1,w/o Structure,0.5885,0.5552,0.7337,0.5338
SUP_QA_0099,Superalloys,single,1,w/o Structure,0.9853,0.995,0.995,0.9483
SUP_QA_0100,Superalloys,multi,1,w/o Structure,0.604,0.5362,0.6665,0.6755
SUP_QA_0101,Superalloys,single,1,w/o Structure,0.8785,0.8389,0.995,0.8516
SUP_QA_0102,Superalloys,multi,1,w/o Structure,0.9648,0.9284,0.9131,0.913
SUP_QA_0103,Superalloys,multi,1,w/o Structure,0.9716,0.9674,0.995,0.9296
SUP_QA_0104,Superalloys,single,1,w/o Structure,0.6846,0.7721,0.8556,0.7379
SUP_QA_0105,Superalloys,single,1,w/o Structure,0.995,0.9868,0.995,0.9316
SUP_QA_0106,Superalloys,single,1,w/o Structure,0.8922,0.7842,0.8566,0.9163
SUP_QA_0107,Superalloys,single,1,w/o Structure,0.859,0.7885,0.9678,0.756
SUP_QA_0108,Superalloys,single,1,w/o Structure,0.8715,0.8982,0.9324,0.8193
SUP_QA_0109,Superalloys,single,1,w/o Structure,0.908,0.9462,0.7945,0.8721
SUP_QA_0110,Superalloys,single,1,w/o Structure,0.9871,0.9628,0.9922,0.8746
SUP_QA_0111,Superalloys,single,1,w/o Structure,0.9946,0.8276,0.9362,0.8581
SUP_QA_0112,Superalloys,multi,1,w/o Structure,0.9449,0.977,0.995,0.9344
SUP_QA_0113,Superalloys,single,1,w/o Structure,0.7875,0.8788,0.7974,0.93
SUP_QA_0114,Superalloys,single,1,w/o Structure,0.5538,0.4976,0.5628,0.5026
SUP_QA_0115,Superalloys,multi,1,w/o Structure,0.854,0.8499,0.9363,0.8866
SUP_QA_0116,Superalloys,multi,1,w/o Structure,0.995,0.9119,0.9545,0.9002
SUP_QA_0117,Superalloys,multi,1,w/o Structure,0.9579,0.9375,0.995,0.9681
SUP_QA_0118,Superalloys,single,1,w/o Structure,0.8831,0.7378,0.8508,0.8745
SUP_QA_0119,Superalloys,single,1,w/o Structure,0.9849,0.9778,0.995,0.942
SUP_QA_0120,Superalloys,single,1,w/o Structure,0.7412,0.5953,0.7449,0.8006
SUP_QA_0121,Superalloys,single,1,w/o Structure,0.607,0.628,0.7504,0.5615
SUP_QA_0122,Superalloys,single,1,w/o Structure,0.9867,0.995,0.9641,0.9346
SUP_QA_0123,Superalloys,single,1,w/o Structure,0.9736,0.995,0.995,0.9351
SUP_QA_0124,Superalloys,single,1,w/o Structure,0.5518,0.6195,0.7087,0.7195
SUP_QA_0125,Superalloys,multi,1,w/o Structure,0.8374,0.922,0.8611,0.9056
SUP_QA_0126,Superalloys,multi,1,w/o Structure,0.7752,0.6418,0.711,0.6841
SUP_QA_0127,Superalloys,single,1,w/o Structure,0.9848,0.9383,0.9898,0.8623
SUP_QA_0128,Superalloys,multi,1,w/o Structure,0.9381,0.9379,0.9662,0.8357
SUP_QA_0129,Superalloys,multi,1,w/o Structure,0.6652,0.7287,0.9023,0.7605
SUP_QA_0130,Superalloys,multi,1,w/o Structure,0.995,0.9882,0.995,0.9105
SUP_QA_0131,Superalloys,single,1,w/o Structure,0.9841,0.8482,0.995,0.9405
SUP_QA_0132,Superalloys,multi,1,w/o Structure,0.979,0.9755,0.9496,0.8694
SEM_QA_0001,Semiconductors,single,1,w/o Structure,0.8086,0.9278,0.8774,0.7357
SEM_QA_0002,Semiconductors,single,1,w/o Structure,0.995,0.8439,0.866,0.9358
SEM_QA_0003,Semiconductors,single,1,w/o Structure,0.8142,0.7849,0.7143,0.7984
SEM_QA_0004,Semiconductors,single,1,w/o Structure,0.995,0.995,0.995,0.9512
SEM_QA_0005,Semiconductors,multi,1,w/o Structure,0.9138,0.8304,0.9008,0.8248
SEM_QA_0006,Semiconductors,multi,1,w/o Structure,0.7158,0.8226,0.9411,0.8441
SEM_QA_0007,Semiconductors,single,1,w/o Structure,0.8292,0.8983,0.9029,0.892
SEM_QA_0008,Semiconductors,single,1,w/o Structure,0.7742,0.9005,0.9206,0.7441
SEM_QA_0009,Semiconductors,single,1,w/o Structure,0.9431,0.9731,0.995,0.932
SEM_QA_0010,Semiconductors,single,1,w/o Structure,0.7275,0.7655,0.7861,0.6373
SEM_QA_0011,Semiconductors,single,1,w/o Structure,0.472,0.3067,0.4266,0.4237
SEM_QA_0012,Semiconductors,single,1,w/o Structure,0.9701,0.8669,0.8141,0.8206
SEM_QA_0013,Semiconductors,multi,1,w/o Structure,0.963,0.9931,0.995,0.9221
SEM_QA_0014,Semiconductors,single,1,w/o Structure,0.995,0.9422,0.9524,0.8665
SEM_QA_0015,Semiconductors,multi,1,w/o Structure,0.995,0.9803,0.9715,0.8876
SEM_QA_0016,Semiconductors,single,1,w/o Structure,0.7409,0.5949,0.6274,0.6584
SEM_QA_0017,Semiconductors,single,1,w/o Structure,0.893,0.9612,0.9228,0.8677
SEM_QA_0018,Semiconductors,multi,1,w/o Structure,0.9075,0.8488,0.8537,0.8577
SEM_QA_0019,Semiconductors,single,1,w/o Structure,0.9907,0.9889,0.995,0.9017
SEM_QA_0020,Semiconductors,single,1,w/o Structure,0.8206,0.8834,0.8738,0.8811
SEM_QA_0021,Semiconductors,single,1,w/o Structure,0.8863,0.8386,0.966,0.9125
SEM_QA_0022,Semiconductors,single,1,w/o Structure,0.9533,0.9754,0.9894,0.9662
SEM_QA_0023,Semiconductors,single,1,w/o Structure,0.7815,0.6409,0.7792,0.8648
SEM_QA_0024,Semiconductors,multi,1,w/o Structure,0.5913,0.6563,0.5791,0.6215
SEM_QA_0025,Semiconductors,single,1,w/o Structure,0.9367,0.8475,0.9923,0.9163
SEM_QA_0026,Semiconductors,single,1,w/o Structure,0.9423,0.9577,0.9045,0.9325
SEM_QA_0027,Semiconductors,single,1,w/o Structure,0.9493,0.9773,0.995,0.9585
SEM_QA_0028,Semiconductors,multi,1,w/o Structure,0.9816,0.9334,0.9083,0.8748
SEM_QA_0029,Semiconductors,single,1,w/o Structure,0.9341,0.8542,0.995,0.9013
SEM_QA_0030,Semiconductors,single,1,w/o Structure,0.7997,0.7472,0.8663,0.7705
SEM_QA_0031,Semiconductors,multi,1,w/o Structure,0.995,0.995,0.995,0.9681
SEM_QA_0032,Semiconductors,single,1,w/o Structure,0.9177,0.91,0.939,0.8597
SEM_QA_0033,Semiconductors,multi,1,w/o Structure,0.7381,0.7175,0.6927,0.6649
SEM_QA_0034,Semiconductors,multi,1,w/o Structure,0.7821,0.8513,0.7341,0.7029
SEM_QA_0035,Semiconductors,single,1,w/o Structure,0.995,0.995,0.995,0.9681
SEM_QA_0036,Semiconductors,single,1,w/o Structure,0.995,0.9716,0.9808,0.8814
SEM_QA_0037,Semiconductors,multi,1,w/o Structure,0.9681,0.9642,0.995,0.9307
SEM_QA_0038,Semiconductors,single,1,w/o Structure,0.7033,0.536,0.6032,0.789
SEM_QA_0039,Semiconductors,multi,1,w/o Structure,0.6903,0.6976,0.6961,0.734
SEM_QA_0040,Semiconductors,multi,1,w/o Structure,0.9092,0.8498,0.9039,0.8076
SEM_QA_0041,Semiconductors,single,1,w/o Structure,0.8552,0.8249,0.9409,0.9331
SEM_QA_0042,Semiconductors,multi,1,w/o Structure,0.9909,0.9884,0.995,0.9202
SEM_QA_0043,Semiconductors,multi,1,w/o Structure,0.7937,0.8578,0.7598,0.788
SEM_QA_0044,Semiconductors,multi,1,w/o Structure,0.6059,0.7299,0.7138,0.7136
SEM_QA_0045,Semiconductors,single,1,w/o Structure,0.9028,0.9322,0.995,0.8868
SEM_QA_0046,Semiconductors,single,1,w/o Structure,0.7974,0.7458,0.8674,0.7926
SEM_QA_0047,Semiconductors,single,1,w/o Structure,0.9605,0.9934,0.995,0.8789
SEM_QA_0048,Semiconductors,multi,1,w/o Structure,0.879,0.8926,0.8396,0.8461
SEM_QA_0049,Semiconductors,multi,1,w/o Structure,0.541,0.5338,0.552,0.7781
SEM_QA_0050,Semiconductors,single,1,w/o Structure,0.7659,0.7698,0.7529,0.7047
SEM_QA_0051,Semiconductors,single,1,w/o Structure,0.9427,0.9146,0.995,0.8644
SEM_QA_0052,Semiconductors,single,1,w/o Structure,0.9377,0.995,0.9729,0.9681
SEM_QA_0053,Semiconductors,single,1,w/o Structure,0.703,0.7712,0.72,0.6608
SEM_QA_0054,Semiconductors,single,1,w/o Structure,0.6958,0.5856,0.7685,0.6639
SEM_QA_0055,Semiconductors,multi,1,w/o Structure,0.6834,0.5833,0.5238,0.5334
SEM_QA_0056,Semiconductors,multi,1,w/o Structure,0.9476,0.995,0.9715,0.9132
SEM_QA_0057,Semiconductors,multi,1,w/o Structure,0.7753,0.7119,0.8464,0.742
SEM_QA_0058,Semiconductors,multi,1,w/o Structure,0.9605,0.995,0.995,0.9681
SEM_QA_0059,Semiconductors,single,1,w/o Structure,0.7336,0.7684,0.7629,0.7235
SEM_QA_0060,Semiconductors,single,1,w/o Structure,0.8491,0.6241,0.7965,0.8006
SEM_QA_0061,Semiconductors,single,1,w/o Structure,0.9339,0.9886,0.9822,0.9476
SEM_QA_0062,Semiconductors,single,1,w/o Structure,0.9661,0.9504,0.9207,0.8941
SEM_QA_0063,Semiconductors,multi,1,w/o Structure,0.9236,0.97,0.9839,0.935
SEM_QA_0064,Semiconductors,multi,1,w/o Structure,0.6631,0.8709,0.7388,0.6684
SEM_QA_0065,Semiconductors,single,1,w/o Structure,0.7272,0.7497,0.7191,0.824
SEM_QA_0066,Semiconductors,multi,1,w/o Structure,0.8002,0.9716,0.9739,0.9681
SEM_QA_0067,Semiconductors,single,1,w/o Structure,0.9726,0.9813,0.9915,0.885
SEM_QA_0068,Semiconductors,multi,1,w/o Structure,0.9695,0.9805,0.995,0.9365
SEM_QA_0069,Semiconductors,multi,1,w/o Structure,0.9312,0.7948,0.776,0.8276
SEM_QA_0070,Semiconductors,single,1,w/o Structure,0.9383,0.9915,0.995,0.8659
SEM_QA_0071,Semiconductors,single,1,w/o Structure,0.9404,0.995,0.8769,0.9323
SEM_QA_0072,Semiconductors,single,1,w/o Structure,0.9221,0.9811,0.9423,0.8564
SEM_QA_0073,Semiconductors,single,1,w/o Structure,0.9854,0.9934,0.995,0.9003
SEM_QA_0074,Semiconductors,single,1,w/o Structure,0.9037,0.9715,0.9663,0.8564
SEM_QA_0075,Semiconductors,single,1,w/o Structure,0.8571,0.9088,0.8389,0.948
SEM_QA_0076,Semiconductors,multi,1,w/o Structure,0.7757,0.7973,0.8215,0.843
SEM_QA_0077,Semiconductors,single,1,w/o Structure,0.9376,0.8857,0.9125,0.8591
SEM_QA_0078,Semiconductors,single,1,w/o Structure,0.995,0.9538,0.995,0.9347
SEM_QA_0079,Semiconductors,multi,1,w/o Structure,0.9584,0.9499,0.9814,0.8602
SEM_QA_0080,Semiconductors,single,1,w/o Structure,0.9578,0.8421,0.995,0.8994
SEM_QA_0081,Semiconductors,single,1,w/o Structure,0.9201,0.9115,0.995,0.8333
SEM_QA_0082,Semiconductors,single,1,w/o Structure,0.981,0.9741,0.995,0.9488
SEM_QA_0083,Semiconductors,single,1,w/o Structure,0.6291,0.6281,0.5079,0.5314
SEM_QA_0084,Semiconductors,multi,1,w/o Structure,0.7835,0.7979,0.9869,0.9349
SEM_QA_0085,Semiconductors,single,1,w/o Structure,0.9585,0.995,0.995,0.96
SEM_QA_0086,Semiconductors,multi,1,w/o Structure,0.718,0.7174,0.8302,0.6877
SEM_QA_0087,Semiconductors,multi,1,w/o Structure,0.8304,0.9363,0.8934,0.8258
SEM_QA_0088,Semiconductors,single,1,w/o Structure,0.8204,0.8766,0.9741,0.8244
SEM_QA_0089,Semiconductors,single,1,w/o Structure,0.875,0.8743,0.8903,0.8268
SEM_QA_0090,Semiconductors,single,1,w/o Structure,0.9465,0.9774,0.995,0.9033
SEM_QA_0091,Semiconductors,single,1,w/o Structure,0.7337,0.5902,0.6323,0.7338
SEM_QA_0092,Semiconductors,single,1,w/o Structure,0.795,0.7723,0.8824,0.8448
SEM_QA_0093,Semiconductors,single,1,w/o Structure,0.9709,0.9597,0.995,0.9204
SEM_QA_0094,Semiconductors,single,1,w/o Structure,0.9932,0.995,0.995,0.9231
SEM_QA_0095,Semiconductors,multi,1,w/o Structure,0.6097,0.6525,0.5571,0.7264
SEM_QA_0096,Semiconductors,multi,1,w/o Structure,0.995,0.9468,0.9869,0.8822
SEM_QA_0097,Semiconductors,single,1,w/o Structure,0.995,0.995,0.995,0.9681
SEM_QA_0098,Semiconductors,single,1,w/o Structure,0.9701,0.9926,0.9681,0.9087
SEM_QA_0099,Semiconductors,single,1,w/o Structure,0.995,0.9375,0.994,0.9307
SEM_QA_0100,Semiconductors,multi,1,w/o Structure,0.8883,0.9767,0.9044,0.9056
SEM_QA_0101,Semiconductors,single,1,w/o Structure,0.9285,0.995,0.9844,0.8827
SEM_QA_0102,Semiconductors,single,1,w/o Structure,0.995,0.9178,0.9588,0.9675
SEM_QA_0103,Semiconductors,multi,1,w/o Structure,0.9695,0.9779,0.995,0.9082
SEM_QA_0104,Semiconductors,single,1,w/o Structure,0.7968,0.7343,0.8225,0.6938
SEM_QA_0105,Semiconductors,multi,1,w/o Structure,0.7767,0.7889,0.6975,0.8388
SEM_QA_0106,Semiconductors,multi,1,w/o Structure,0.9765,0.9921,0.9713,0.9681
SEM_QA_0107,Semiconductors,single,1,w/o Structure,0.995,0.9935,0.9668,0.9184
SEM_QA_0108,Semiconductors,multi,1,w/o Structure,0.738,0.7708,0.7877,0.6372
SEM_QA_0109,Semiconductors,single,1,w/o Structure,0.9552,0.9689,0.9907,0.9407
SEM_QA_0110,Semiconductors,multi,1,w/o Structure,0.5684,0.713,0.699,0.6384
SEM_QA_0111,Semiconductors,single,1,w/o Structure,0.9384,0.9675,0.9904,0.9453
SEM_QA_0112,Semiconductors,single,1,w/o Structure,0.916,0.8821,0.9155,0.8997
SEM_QA_0113,Semiconductors,single,1,w/o Structure,0.8161,0.886,0.7734,0.7613
SEM_QA_0114,Semiconductors,single,1,w/o Structure,0.9558,0.9779,0.958,0.9216
SEM_QA_0115,Semiconductors,multi,1,w/o Structure,0.856,0.779,0.6833,0.6536
SEM_QA_0116,Semiconductors,single,1,w/o Structure,0.995,0.995,0.995,0.9051
SEM_QA_0117,Semiconductors,multi,1,w/o Structure,0.9645,0.9244,0.995,0.9342
SEM_QA_0118,Semiconductors,single,1,w/o Structure,0.9935,0.9382,0.9901,0.9681
SEM_QA_0119,Semiconductors,single,1,w/o Structure,0.9712,0.9365,0.995,0.9503
SEM_QA_0120,Semiconductors,single,1,w/o Structure,0.7524,0.8052,0.6935,0.7697
SEM_QA_0121,Semiconductors,single,1,w/o Structure,0.5798,0.5557,0.7046,0.5922
SEM_QA_0122,Semiconductors,single,1,w/o Structure,0.995,0.9575,0.9174,0.9681
SEM_QA_0123,Semiconductors,single,1,w/o Structure,0.8906,0.995,0.9227,0.9659
SEM_QA_0124,Semiconductors,single,1,w/o Structure,0.976,0.995,0.8729,0.9399
SEM_QA_0125,Semiconductors,single,1,w/o Structure,0.995,0.995,0.9767,0.9508
SEM_QA_0126,Semiconductors,multi,1,w/o Structure,0.9493,0.9703,0.9865,0.9275
BAT_QA_0001,Batteries,single,1,w/o Structure,0.8149,0.7691,0.8069,0.7487
BAT_QA_0002,Batteries,single,1,w/o Structure,0.995,0.995,0.995,0.9681
BAT_QA_0003,Batteries,multi,1,w/o Structure,0.995,0.995,0.995,0.8979
BAT_QA_0004,Batteries,single,1,w/o Structure,0.8028,0.9585,0.9636,0.8836
BAT_QA_0005,Batteries,single,1,w/o Structure,0.9666,0.9945,0.995,0.9329
BAT_QA_0006,Batteries,single,1,w/o Structure,0.9763,0.9861,0.959,0.9215
BAT_QA_0007,Batteries,multi,1,w/o Structure,0.9537,0.8215,0.9585,0.9154
BAT_QA_0008,Batteries,single,1,w/o Structure,0.995,0.995,0.9828,0.948
BAT_QA_0009,Batteries,single,1,w/o Structure,0.9707,0.95,0.9285,0.9101
BAT_QA_0010,Batteries,single,1,w/o Structure,0.9864,0.995,0.9773,0.904
BAT_QA_0011,Batteries,single,1,w/o Structure,0.9073,0.8098,0.9118,0.9306
BAT_QA_0012,Batteries,single,1,w/o Structure,0.813,0.8846,0.9281,0.7835
BAT_QA_0013,Batteries,single,1,w/o Structure,0.9784,0.995,0.995,0.9328
BAT_QA_0014,Batteries,multi,1,w/o Structure,0.995,0.8978,0.9627,0.9106
BAT_QA_0015,Batteries,multi,1,w/o Structure,0.9807,0.9787,0.995,0.9224
BAT_QA_0016,Batteries,single,1,w/o Structure,0.664,0.4901,0.7114,0.5262
BAT_QA_0017,Batteries,multi,1,w/o Structure,0.5791,0.8426,0.8785,0.8205
BAT_QA_0018,Batteries,single,1,w/o Structure,0.5098,0.5784,0.4999,0.5087
BAT_QA_0019,Batteries,single,1,w/o Structure,0.9322,0.987,0.9289,0.8616
BAT_QA_0020,Batteries,single,1,w/o Structure,0.3685,0.3489,0.4495,0.289
BAT_QA_0021,Batteries,single,1,w/o Structure,0.6305,0.6731,0.611,0.7497
BAT_QA_0022,Batteries,multi,1,w/o Structure,0.6161,0.6641,0.6834,0.7468
BAT_QA_0023,Batteries,single,1,w/o Structure,0.995,0.9175,0.9755,0.9452
BAT_QA_0024,Batteries,single,1,w/o Structure,0.8574,0.9604,0.8919,0.96
BAT_QA_0025,Batteries,single,1,w/o Structure,0.9745,0.9649,0.9293,0.8992
BAT_QA_0026,Batteries,multi,1,w/o Structure,0.8117,0.7776,0.8958,0.7441
BAT_QA_0027,Batteries,single,1,w/o Structure,0.995,0.995,0.991,0.9349
BAT_QA_0028,Batteries,single,1,w/o Structure,0.9766,0.9571,0.995,0.8507
BAT_QA_0029,Batteries,single,1,w/o Structure,0.995,0.9878,0.995,0.9563
BAT_QA_0030,Batteries,single,1,w/o Structure,0.995,0.9801,0.995,0.9173
BAT_QA_0031,Batteries,multi,1,w/o Structure,0.9556,0.9825,0.9897,0.9385
BAT_QA_0032,Batteries,multi,1,w/o Structure,0.993,0.9635,0.8591,0.9592
BAT_QA_0033,Batteries,single,1,w/o Structure,0.9892,0.9947,0.995,0.9681
BAT_QA_0034,Batteries,single,1,w/o Structure,0.906,0.9296,0.8402,0.7949
BAT_QA_0035,Batteries,multi,1,w/o Structure,0.9544,0.9933,0.9133,0.9681
BAT_QA_0036,Batteries,single,1,w/o Structure,0.9872,0.995,0.995,0.9637
BAT_QA_0037,Batteries,multi,1,w/o Structure,0.8306,0.6921,0.7691,0.7498
BAT_QA_0038,Batteries,single,1,w/o Structure,0.995,0.8436,0.9122,0.9159
BAT_QA_0039,Batteries,multi,1,w/o Structure,0.7584,0.811,0.6655,0.7638
