query_id,domain,question_type,run,faithfulness,answer_relevancy
SEM_QA_0004,Semiconductors,single,1,0.8628,0.995
SEM_QA_0005,Semiconductors,multi,1,0.821,0.8998
SEM_QA_0006,Semiconductors,multi,1,0.6953,0.6931
SEM_QA_0007,Semiconductors,single,1,0.7265,0.8342
SEM_QA_0008,Semiconductors,single,1,0.7146,0.8531
SEM_QA_0009,Semiconductors,single,1,0.509,0.7255
SEM_QA_0010,Semiconductors,single,1,0.9334,0.9602
SEM_QA_0011,Semiconductors,single,1,0.7697,0.8616
SEM_QA_0012,Semiconductors,single,1,0.603,0.6627
SEM_QA_0013,Semiconductors,multi,1,0.7484,0.7993
SEM_QA_0014,Semiconductors,single,1,0.6699,0.7424
SEM_QA_0015,Semiconductors,multi,1,0.6144,0.8284
SEM_QA_0016,Semiconductors,single,1,0.8383,0.946
SEM_QA_0017,Semiconductors,single,1,0.6431,0.8041
SEM_QA_0018,Semiconductors,multi,1,0.8559,0.9618
SEM_QA_0019,Semiconductors,single,1,0.8898,0.9208
SEM_QA_0020,Semiconductors,single,1,0.7319,0.7727
SEM_QA_0021,Semiconductors,single,1,0.8276,0.9257
SEM_QA_0022,Semiconductors,single,1,0.888,0.995
SEM_QA_0023,Semiconductors,single,1,0.5951,0.7782
SEM_QA_0024,Semiconductors,multi,1,0.2762,0.5277
SEM_QA_0025,Semiconductors,single,1,0.8751,0.9532
SEM_QA_0026,Semiconductors,single,1,0.677,0.8194
SEM_QA_0027,Semiconductors,single,1,0.8254,0.8619
SEM_QA_0028,Semiconductors,multi,1,0.5427,0.5665
SEM_QA_0029,Semiconductors,single,1,0.995,0.9527
SEM_QA_0030,Semiconductors,single,1,0.8602,0.957
SEM_QA_0031,Semiconductors,multi,1,0.8919,0.9714
SEM_QA_0032,Semiconductors,single,1,0.6299,0.8235
SEM_QA_0033,Semiconductors,multi,1,0.6925,0.7324
SEM_QA_0034,Semiconductors,multi,1,0.7521,0.8668
SEM_QA_0035,Semiconductors,single,1,0.8106,0.9426
SEM_QA_0036,Semiconductors,single,1,0.7441,0.7811
SEM_QA_0037,Semiconductors,multi,1,0.5175,0.5952
SEM_QA_0038,Semiconductors,single,1,0.9329,0.9759
SEM_QA_0039,Semiconductors,multi,1,0.4358,0.676
SEM_QA_0040,Semiconductors,multi,1,0.617,0.7736
SEM_QA_0041,Semiconductors,single,1,0.7805,0.8844
SEM_QA_0042,Semiconductors,multi,1,0.5838,0.7711
SEM_QA_0043,Semiconductors,multi,1,0.6394,0.7462
SEM_QA_0044,Semiconductors,multi,1,0.7525,0.874
SEM_QA_0045,Semiconductors,single,1,0.6302,0.7919
SEM_QA_0046,Semiconductors,single,1,0.8009,0.7926
SEM_QA_0047,Semiconductors,single,1,0.7865,0.8122
SEM_QA_0048,Semiconductors,multi,1,0.7192,0.8445
SEM_QA_0049,Semiconductors,multi,1,0.8313,0.9383
SEM_QA_0050,Semiconductors,single,1,0.6114,0.8356
SEM_QA_0051,Semiconductors,single,1,0.888,0.9562
SEM_QA_0052,Semiconductors,single,1,0.9057,0.995
SEM_QA_0053,Semiconductors,single,1,0.6007,0.6902
SEM_QA_0054,Semiconductors,single,1,0.7829,0.856
SEM_QA_0055,Semiconductors,multi,1,0.273,0.6608
SEM_QA_0056,Semiconductors,multi,1,0.7129,0.8901
SEM_QA_0057,Semiconductors,multi,1,0.8619,0.8139
SEM_QA_0058,Semiconductors,multi,1,0.995,0.995
SEM_QA_0059,Semiconductors,single,1,0.9028,0.9912
SEM_QA_0060,Semiconductors,single,1,0.6951,0.7952
SEM_QA_0061,Semiconductors,single,1,0.6012,0.6217
SEM_QA_0062,Semiconductors,single,1,0.6276,0.8053
SEM_QA_0063,Semiconductors,multi,1,0.995,0.995
SEM_QA_0064,Semiconductors,multi,1,0.8103,0.9121
SEM_QA_0065,Semiconductors,single,1,0.789,0.918
SEM_QA_0066,Semiconductors,multi,1,0.8784,0.8977
SEM_QA_0067,Semiconductors,single,1,0.5861,0.6357
SEM_QA_0068,Semiconductors,multi,1,0.7752,0.9409
SEM_QA_0069,Semiconductors,multi,1,0.4922,0.7468
SEM_QA_0070,Semiconductors,single,1,0.7963,0.871
SEM_QA_0071,Semiconductors,single,1,0.8318,0.8365
SEM_QA_0072,Semiconductors,single,1,0.995,0.9232
SEM_QA_0073,Semiconductors,single,1,0.995,0.995
SEM_QA_0074,Semiconductors,single,1,0.5591,0.6562
SEM_QA_0075,Semiconductors,single,1,0.9001,0.995
SEM_QA_0076,Semiconductors,multi,1,0.619,0.7463
SEM_QA_0077,Semiconductors,single,1,0.4994,0.6394
SEM_QA_0078,Semiconductors,single,1,0.995,0.9424
SEM_QA_0079,Semiconductors,multi,1,0.9812,0.995
SEM_QA_0080,Semiconductors,single,1,0.7836,0.9032
SEM_QA_0081,Semiconductors,single,1,0.995,0.995
SEM_QA_0082,Semiconductors,single,1,0.6998,0.8509
SEM_QA_0083,Semiconductors,single,1,0.8977,0.8319
SEM_QA_0084,Semiconductors,multi,1,0.816,0.8605
SEM_QA_0085,Semiconductors,single,1,0.9389,0.9524
SEM_QA_0086,Semiconductors,multi,1,0.7587,0.9028
SEM_QA_0087,Semiconductors,multi,1,0.8772,0.9349
SEM_QA_0088,Semiconductors,single,1,0.8774,0.9469
SEM_QA_0089,Semiconductors,single,1,0.6376,0.7354
SEM_QA_0090,Semiconductors,single,1,0.8537,0.9774
SEM_QA_0091,Semiconductors,single,1,0.6115,0.7764
SEM_QA_0092,Semiconductors,single,1,0.8088,0.9156
SEM_QA_0093,Semiconductors,single,1,0.7603,0.8694
SEM_QA_0094,Semiconductors,single,1,0.8898,0.8676
SEM_QA_0095,Semiconductors,multi,1,0.6622,0.7051
SEM_QA_0096,Semiconductors,multi,1,0.6208,0.802
SEM_QA_0097,Semiconductors,single,1,0.6132,0.6685
SEM_QA_0098,Semiconductors,single,1,0.9147,0.9556
SEM_QA_0099,Semiconductors,single,1,0.765,0.8289
SEM_QA_0100,Semiconductors,multi,1,0.5633,0.817
SEM_QA_0101,Semiconductors,single,1,0.995,0.995
SEM_QA_0102,Semiconductors,single,1,0.7675,0.8724
SEM_QA_0103,Semiconductors,multi,1,0.4825,0.6613
SEM_QA_0104,Semiconductors,single,1,0.897,0.9412
SEM_QA_0105,Semiconductors,multi,1,0.402,0.6685
SEM_QA_0106,Semiconductors,multi,1,0.7828,0.8339
SEM_QA_0107,Semiconductors,single,1,0.8238,0.9713
SEM_QA_0108,Semiconductors,multi,1,0.7747,0.8912
SEM_QA_0109,Semiconductors,single,1,0.6456,0.8025
SEM_QA_0110,Semiconductors,multi,1,0.8116,0.995
SEM_QA_0111,Semiconductors,single,1,0.7616,0.9944
SEM_QA_0112,Semiconductors,single,1,0.8015,0.9315
SEM_QA_0113,Semiconductors,single,1,0.4098,0.6036
SEM_QA_0114,Semiconductors,single,1,0.6364,0.7153
SEM_QA_0115,Semiconductors,multi,1,0.8548,0.7485
SEM_QA_0116,Semiconductors,single,1,0.4804,0.6674
SEM_QA_0117,Semiconductors,multi,1,0.9119,0.995
SEM_QA_0118,Semiconductors,single,1,0.995,0.995
SEM_QA_0119,Semiconductors,single,1,0.916,0.8745
SEM_QA_0120,Semiconductors,single,1,0.5534,0.6598
SEM_QA_0121,Semiconductors,single,1,0.5327,0.7669
SEM_QA_0122,Semiconductors,single,1,0.7253,0.9078
SEM_QA_0123,Semiconductors,single,1,0.5714,0.7095
SEM_QA_0124,Semiconductors,single,1,0.995,0.995
SEM_QA_0125,Semiconductors,single,1,0.995,0.995
SEM_QA_0126,Semiconductors,multi,1,0.6271,0.7392
SUP_QA_0001,Superalloys,single,1,0.5266,0.6697
SUP_QA_0002,Superalloys,multi,1,0.8702,0.9903
SUP_QA_0003,Superalloys,multi,1,0.5071,0.6962
SUP_QA_0004,Superalloys,multi,1,0.5142,0.5623
SUP_QA_0005,Superalloys,single,1,0.4418,0.6276
SUP_QA_0006,Superalloys,single,1,0.858,0.7961
SUP_QA_0007,Superalloys,single,1,0.5459,0.6828
SUP_QA_0008,Superalloys,single,1,0.6204,0.8071
SUP_QA_0009,Superalloys,single,1,0.7752,0.8005
SUP_QA_0010,Superalloys,single,1,0.869,0.9258
SUP_QA_0011,Superalloys,single,1,0.8406,0.9237
SUP_QA_0012,Superalloys,single,1,0.9584,0.915
SUP_QA_0013,Superalloys,multi,1,0.9526,0.9944
SUP_QA_0014,Superalloys,single,1,0.995,0.995
SUP_QA_0015,Superalloys,single,1,0.5511,0.6607
SUP_QA_0016,Superalloys,single,1,0.8653,0.9311
SUP_QA_0017,Superalloys,single,1,0.9186,0.9335
SUP_QA_0018,Superalloys,single,1,0.7198,0.7131
SUP_QA_0019,Superalloys,single,1,0.9813,0.9196
SUP_QA_0020,Superalloys,single,1,0.6163,0.7928
SUP_QA_0021,Superalloys,multi,1,0.6791,0.7886
SUP_QA_0022,Superalloys,single,1,0.9295,0.9553
SUP_QA_0023,Superalloys,single,1,0.9171,0.995
SUP_QA_0024,Superalloys,single,1,0.6463,0.8307
SUP_QA_0025,Superalloys,single,1,0.9872,0.995
SUP_QA_0026,Superalloys,single,1,0.7317,0.7495
SUP_QA_0027,Superalloys,multi,1,0.8092,0.9664
SUP_QA_0028,Superalloys,multi,1,0.7855,0.9012
SUP_QA_0029,Superalloys,single,1,0.5968,0.7328
SUP_QA_0030,Superalloys,multi,1,0.6383,0.8018
SUP_QA_0031,Superalloys,single,1,0.7505,0.7881
SUP_QA_0032,Superalloys,single,1,0.8287,0.9646
SUP_QA_0033,Superalloys,single,1,0.995,0.995
SUP_QA_0034,Superalloys,multi,1,0.8095,0.8891
SUP_QA_0035,Superalloys,single,1,0.9613,0.8995
SUP_QA_0036,Superalloys,single,1,0.7411,0.893
SUP_QA_0037,Superalloys,single,1,0.752,0.9468
SUP_QA_0038,Superalloys,single,1,0.542,0.592
SUP_QA_0039,Superalloys,single,1,0.506,0.8688
SUP_QA_0040,Superalloys,multi,1,0.8758,0.9521
SUP_QA_0041,Superalloys,single,1,0.231,0.5855
SUP_QA_0042,Superalloys,single,1,0.5789,0.7238
SUP_QA_0043,Superalloys,single,1,0.6179,0.8673
SUP_QA_0044,Superalloys,multi,1,0.6198,0.7396
SUP_QA_0045,Superalloys,single,1,0.9846,0.9365
SUP_QA_0046,Superalloys,single,1,0.995,0.995
SUP_QA_0047,Superalloys,multi,1,0.4567,0.621
SUP_QA_0048,Superalloys,single,1,0.7117,0.7354
SUP_QA_0049,Superalloys,multi,1,0.6644,0.933
SUP_QA_0050,Superalloys,single,1,0.8554,0.9084
SUP_QA_0051,Superalloys,single,1,0.8713,0.9373
SUP_QA_0052,Superalloys,single,1,0.6065,0.6758
SUP_QA_0053,Superalloys,single,1,0.5938,0.7499
SUP_QA_0054,Superalloys,multi,1,0.5545,0.653
SUP_QA_0055,Superalloys,single,1,0.839,0.9535
SUP_QA_0056,Superalloys,single,1,0.9302,0.9233
SUP_QA_0057,Superalloys,single,1,0.9176,0.9343
SUP_QA_0058,Superalloys,single,1,0.6374,0.863
SUP_QA_0059,Superalloys,single,1,0.4478,0.6904
SUP_QA_0060,Superalloys,single,1,0.6803,0.8094
SUP_QA_0061,Superalloys,single,1,0.6314,0.8186
SUP_QA_0062,Superalloys,multi,1,0.4108,0.6895
SUP_QA_0063,Superalloys,single,1,0.665,0.77
SUP_QA_0064,Superalloys,multi,1,0.8069,0.83
SUP_QA_0065,Superalloys,single,1,0.9158,0.9324
SUP_QA_0066,Superalloys,single,1,0.8988,0.8511
SUP_QA_0067,Superalloys,multi,1,0.727,0.8666
SUP_QA_0068,Superalloys,single,1,0.8061,0.8952
SUP_QA_0069,Superalloys,single,1,0.8747,0.9141
SUP_QA_0070,Superalloys,multi,1,0.6745,0.8584
SUP_QA_0071,Superalloys,single,1,0.7351,0.8397
SUP_QA_0072,Superalloys,multi,1,0.8394,0.8575
SUP_QA_0073,Superalloys,multi,1,0.9072,0.9507
SUP_QA_0074,Superalloys,multi,1,0.7797,0.8885
SUP_QA_0075,Superalloys,single,1,0.7002,0.8734
SUP_QA_0076,Superalloys,single,1,0.6651,0.7983
SUP_QA_0077,Superalloys,multi,1,0.9052,0.9492
SUP_QA_0078,Superalloys,single,1,0.691,0.7408
SUP_QA_0079,Superalloys,single,1,0.7296,0.8806
SUP_QA_0080,Superalloys,multi,1,0.5455,0.6682
SUP_QA_0081,Superalloys,multi,1,0.6347,0.8109
SUP_QA_0082,Superalloys,multi,1,0.7132,0.7743
SUP_QA_0083,Superalloys,single,1,0.5799,0.624
SUP_QA_0084,Superalloys,single,1,0.9409,0.9287
SUP_QA_0085,Superalloys,single,1,0.7194,0.9361
SUP_QA_0086,Superalloys,single,1,0.6927,0.6615
SUP_QA_0087,Superalloys,multi,1,0.5625,0.6756
SUP_QA_0088,Superalloys,single,1,0.9765,0.9556
SUP_QA_0089,Superalloys,single,1,0.9711,0.8831
SUP_QA_0090,Superalloys,single,1,0.6191,0.7429
SUP_QA_0091,Superalloys,multi,1,0.8131,0.9398
SUP_QA_0092,Superalloys,single,1,0.7931,0.8078
SUP_QA_0093,Superalloys,multi,1,0.7535,0.7509
SUP_QA_0094,Superalloys,multi,1,0.6916,0.804
SUP_QA_0095,Superalloys,multi,1,0.5039,0.7491
SUP_QA_0096,Superalloys,single,1,0.7878,0.7472
SUP_QA_0097,Superalloys,multi,1,0.6221,0.7222
SUP_QA_0098,Superalloys,single,1,0.2652,0.5145
SUP_QA_0099,Superalloys,single,1,0.8475,0.9454
SUP_QA_0100,Superalloys,multi,1,0.4714,0.7053
SUP_QA_0101,Superalloys,single,1,0.995,0.9399
SUP_QA_0102,Superalloys,multi,1,0.7284,0.6791
SUP_QA_0103,Superalloys,multi,1,0.7469,0.8922
SUP_QA_0104,Superalloys,single,1,0.796,0.8586
SUP_QA_0105,Superalloys,single,1,0.871,0.995
SUP_QA_0106,Superalloys,single,1,0.6174,0.6984
SUP_QA_0107,Superalloys,single,1,0.6781,0.7937
SUP_QA_0108,Superalloys,single,1,0.7915,0.8901
SUP_QA_0109,Superalloys,single,1,0.4383,0.6247
SUP_QA_0110,Superalloys,single,1,0.7926,0.8932
SUP_QA_0111,Superalloys,single,1,0.7781,0.8598
SUP_QA_0112,Superalloys,multi,1,0.8764,0.9522
SUP_QA_0113,Superalloys,single,1,0.5606,0.6272
SUP_QA_0114,Superalloys,single,1,0.4357,0.6069
SUP_QA_0115,Superalloys,multi,1,0.7604,0.8727
SUP_QA_0116,Superalloys,multi,1,0.8699,0.8748
SUP_QA_0117,Superalloys,multi,1,0.7769,0.897
SUP_QA_0118,Superalloys,single,1,0.995,0.995
SUP_QA_0119,Superalloys,single,1,0.5354,0.704
SUP_QA_0120,Superalloys,single,1,0.3732,0.6073
SUP_QA_0121,Superalloys,single,1,0.6241,0.7362
SUP_QA_0122,Superalloys,single,1,0.7161,0.9022
SUP_QA_0123,Superalloys,single,1,0.7096,0.8068
SUP_QA_0124,Superalloys,single,1,0.7154,0.9324
SUP_QA_0125,Superalloys,multi,1,0.6722,0.8344
SUP_QA_0126,Superalloys,multi,1,0.8045,0.8069
SUP_QA_0127,Superalloys,single,1,0.607,0.8055
SUP_QA_0128,Superalloys,multi,1,0.757,0.9146
SUP_QA_0129,Superalloys,multi,1,0.6741,0.8282
SUP_QA_0130,Superalloys,multi,1,0.5991,0.6754
SUP_QA_0131,Superalloys,single,1,0.9264,0.8423
SUP_QA_0132,Superalloys,multi,1,0.9007,0.9569
BAT_QA_0001,Batteries,single,2,0.7245,0.9061
BAT_QA_0002,Batteries,single,2,0.715,0.7188
BAT_QA_0003,Batteries,multi,2,0.8561,0.991
BAT_QA_0004,Batteries,single,2,0.9096,0.9766
BAT_QA_0005,Batteries,single,2,0.995,0.9189
BAT_QA_0006,Batteries,single,2,0.8374,0.9211
BAT_QA_0007,Batteries,multi,2,0.623,0.6799
BAT_QA_0008,Batteries,single,2,0.9867,0.995
BAT_QA_0009,Batteries,single,2,0.661,0.7032
BAT_QA_0010,Batteries,single,2,0.9342,0.995
BAT_QA_0011,Batteries,single,2,0.7382,0.7514
BAT_QA_0012,Batteries,single,2,0.8152,0.9513
BAT_QA_0013,Batteries,single,2,0.8902,0.995
BAT_QA_0014,Batteries,multi,2,0.7082,0.934
BAT_QA_0015,Batteries,multi,2,0.7637,0.8038
BAT_QA_0016,Batteries,single,2,0.5803,0.7611
BAT_QA_0017,Batteries,multi,2,0.6584,0.8976
BAT_QA_0018,Batteries,single,2,0.788,0.8384
BAT_QA_0019,Batteries,single,2,0.7921,0.8522
BAT_QA_0020,Batteries,single,2,0.5392,0.6666
BAT_QA_0021,Batteries,single,2,0.6608,0.7448
BAT_QA_0022,Batteries,multi,2,0.6168,0.7254
BAT_QA_0023,Batteries,single,2,0.8388,0.8696
BAT_QA_0024,Batteries,single,2,0.7521,0.9473
BAT_QA_0025,Batteries,single,2,0.8482,0.9493
BAT_QA_0026,Batteries,multi,2,0.8174,0.7529
BAT_QA_0027,Batteries,single,2,0.9605,0.9589
BAT_QA_0028,Batteries,single,2,0.6883,0.6878
BAT_QA_0029,Batteries,single,2,0.9399,0.995
BAT_QA_0030,Batteries,single,2,0.995,0.9911
BAT_QA_0031,Batteries,multi,2,0.9283,0.995
BAT_QA_0032,Batteries,multi,2,0.7367,0.834
BAT_QA_0033,Batteries,single,2,0.7739,0.8814
BAT_QA_0034,Batteries,single,2,0.4644,0.7358
BAT_QA_0035,Batteries,multi,2,0.773,0.9406
BAT_QA_0036,Batteries,single,2,0.8603,0.865
BAT_QA_0037,Batteries,multi,2,0.9144,0.9026
BAT_QA_0038,Batteries,single,2,0.5001,0.6408
BAT_QA_0039,Batteries,multi,2,0.5836,0.7703
BAT_QA_0040,Batteries,single,2,0.9285,0.995
BAT_QA_0041,Batteries,single,2,0.801,0.8619
BAT_QA_0042,Batteries,multi,2,0.598,0.7963
BAT_QA_0043,Batteries,single,2,0.9417,0.995
BAT_QA_0044,Batteries,single,2,0.8604,0.9264
BAT_QA_0045,Batteries,multi,2,0.867,0.8681
BAT_QA_0046,Batteries,multi,2,0.6594,0.7461
BAT_QA_0047,Batteries,single,2,0.9167,0.8843
BAT_QA_0048,Batteries,single,2,0.8243,0.8142
BAT_QA_0049,Batteries,single,2,0.7937,0.7674
BAT_QA_0050,Batteries,single,2,0.7212,0.7915
BAT_QA_0051,Batteries,single,2,0.6409,0.6316
BAT_QA_0052,Batteries,single,2,0.5937,0.7276
BAT_QA_0053,Batteries,single,2,0.8336,0.843
BAT_QA_0054,Batteries,single,2,0.9064,0.9017
BAT_QA_0055,Batteries,single,2,0.763,0.8548
BAT_QA_0056,Batteries,single,2,0.995,0.995
BAT_QA_0057,Batteries,multi,2,0.6384,0.7499
BAT_QA_0058,Batteries,single,2,0.9401,0.9454
BAT_QA_0059,Batteries,single,2,0.8636,0.8438
BAT_QA_0060,Batteries,multi,2,0.5686,0.6802
BAT_QA_0061,Batteries,single,2,0.7255,0.849
BAT_QA_0062,Batteries,multi,2,0.3911,0.6349
BAT_QA_0063,Batteries,single,2,0.7733,0.8638
BAT_QA_0064,Batteries,single,2,0.7451,0.92
BAT_QA_0065,Batteries,single,2,0.7914,0.9277
BAT_QA_0066,Batteries,single,2,0.5554,0.6653
BAT_QA_0067,Batteries,single,2,0.5245,0.6442
BAT_QA_0068,Batteries,multi,2,0.6638,0.7469
BAT_QA_0069,Batteries,single,2,0.8974,0.9287
BAT_QA_0070,Batteries,multi,2,0.7055,0.849
BAT_QA_0071,Batteries,single,2,0.6391,0.9255
BAT_QA_0072,Batteries,multi,2,0.8214,0.9042
BAT_QA_0073,Batteries,single,2,0.8254,0.995
BAT_QA_0074,Batteries,multi,2,0.8241,0.9062
BAT_QA_0075,Batteries,single,2,0.5057,0.605
BAT_QA_0076,Batteries,multi,2,0.7609,0.8346
BAT_QA_0077,Batteries,single,2,0.9129,0.8805
BAT_QA_0078,Batteries,single,2,0.761,0.8779
BAT_QA_0079,Batteries,multi,2,0.8241,0.9131
BAT_QA_0080,Batteries,single,2,0.6755,0.8279
BAT_QA_0081,Batteries,single,2,0.571,0.8751
BAT_QA_0082,Batteries,multi,2,0.7003,0.8033
BAT_QA_0083,Batteries,single,2,0.6425,0.668
BAT_QA_0084,Batteries,single,2,0.5812,0.7151
BAT_QA_0085,Batteries,multi,2,0.7646,0.8887
BAT_QA_0086,Batteries,multi,2,0.6495,0.8553
