query_id,domain,question_type,run,faithfulness,answer_relevancy,ref_faithfulness,ref_answer_relevancy
SUP_QA_0073,Superalloys,multi,1,0.6679,0.6236,0.5685,0.5047
SUP_QA_0074,Superalloys,multi,1,0.9903,0.9424,0.9461,0.9122
SUP_QA_0075,Superalloys,single,1,0.9099,0.9153,0.886,0.8814
SUP_QA_0076,Superalloys,single,1,0.8977,0.8614,0.8568,0.8129
SUP_QA_0077,Superalloys,multi,1,0.995,0.9405,0.9836,0.9486
SUP_QA_0078,Superalloys,single,1,0.6648,0.5691,0.5361,0.4574
SUP_QA_0079,Superalloys,single,1,0.9944,0.9273,0.933,0.8958
SUP_QA_0080,Superalloys,multi,1,0.9238,0.9584,0.9116,0.95
SUP_QA_0081,Superalloys,multi,1,0.7788,0.732,0.728,0.6736
SUP_QA_0082,Superalloys,multi,1,0.9616,0.9865,0.9398,0.9896
SUP_QA_0083,Superalloys,single,1,0.7709,0.6408,0.6587,0.5481
SUP_QA_0084,Superalloys,single,1,0.9805,0.9773,0.9663,0.9506
SUP_QA_0085,Superalloys,single,1,0.9602,0.9672,0.909,0.9418
SUP_QA_0086,Superalloys,single,1,0.995,0.9839,0.9836,0.9546
SUP_QA_0087,Superalloys,multi,1,0.995,0.9708,0.939,0.9843
SUP_QA_0088,Superalloys,single,1,0.869,0.8407,0.7895,0.7835
SUP_QA_0089,Superalloys,single,1,0.9473,0.8454,0.9489,0.8092
SUP_QA_0090,Superalloys,single,1,0.7724,0.8108,0.6983,0.7499
SUP_QA_0091,Superalloys,multi,1,0.92,0.7725,0.8989,0.7155
SUP_QA_0092,Superalloys,single,1,0.7319,0.5233,0.6436,0.3658
SUP_QA_0093,Superalloys,multi,1,0.9691,0.8883,0.941,0.8742
SUP_QA_0094,Superalloys,multi,1,0.9456,0.9874,0.9179,0.9705
SUP_QA_0095,Superalloys,multi,1,0.913,0.7301,0.8884,0.7207
SUP_QA_0096,Superalloys,single,1,0.9741,0.982,0.9451,0.9638
SUP_QA_0097,Superalloys,multi,1,0.8548,0.7872,0.7886,0.6897
SUP_QA_0098,Superalloys,single,1,0.6484,0.578,0.5527,0.4579
SUP_QA_0099,Superalloys,single,1,0.995,0.995,0.964,0.9722
SUP_QA_0100,Superalloys,multi,1,0.6383,0.5782,0.5147,0.4588
SUP_QA_0101,Superalloys,single,1,0.895,0.8473,0.8421,0.7956
SUP_QA_0102,Superalloys,multi,1,0.995,0.9068,0.9472,0.859
SUP_QA_0103,Superalloys,multi,1,0.9576,0.9611,0.924,0.9288
SUP_QA_0104,Superalloys,single,1,0.7728,0.7392,0.7025,0.6885
SUP_QA_0105,Superalloys,single,1,0.995,0.995,0.9836,0.9896
SUP_QA_0106,Superalloys,single,1,0.9303,0.822,0.8549,0.7302
SUP_QA_0107,Superalloys,single,1,0.8726,0.7923,0.8134,0.728
SUP_QA_0108,Superalloys,single,1,0.9542,0.8961,0.8929,0.8549
SUP_QA_0109,Superalloys,single,1,0.9396,0.9567,0.8622,0.8901
SUP_QA_0110,Superalloys,single,1,0.9684,0.995,0.9336,0.9869
SUP_QA_0111,Superalloys,single,1,0.9506,0.9403,0.9175,0.8822
SUP_QA_0112,Superalloys,multi,1,0.995,0.914,0.9427,0.9082
SUP_QA_0113,Superalloys,single,1,0.767,0.879,0.7424,0.8071
SUP_QA_0114,Superalloys,single,1,0.6635,0.5978,0.5217,0.4352
SUP_QA_0115,Superalloys,multi,1,0.8704,0.8897,0.8405,0.8603
SUP_QA_0116,Superalloys,multi,1,0.947,0.8474,0.9103,0.8259
SUP_QA_0117,Superalloys,multi,1,0.9005,0.9855,0.8319,0.9346
SUP_QA_0118,Superalloys,single,1,0.9248,0.8581,0.8358,0.7731
SUP_QA_0119,Superalloys,single,1,0.9398,0.9913,0.9119,0.9571
SUP_QA_0120,Superalloys,single,1,0.6853,0.6851,0.6643,0.5781
SUP_QA_0121,Superalloys,single,1,0.7047,0.8142,0.6131,0.7066
SUP_QA_0122,Superalloys,single,1,0.9601,0.9364,0.9199,0.9266
SUP_QA_0123,Superalloys,single,1,0.9743,0.995,0.9589,0.9896
SUP_QA_0124,Superalloys,single,1,0.6244,0.6659,0.5155,0.5835
SUP_QA_0125,Superalloys,multi,1,0.8363,0.9089,0.7796,0.889
SUP_QA_0126,Superalloys,multi,1,0.7564,0.6984,0.6794,0.597
SUP_QA_0127,Superalloys,single,1,0.986,0.9626,0.9515,0.954
SUP_QA_0128,Superalloys,multi,1,0.944,0.8944,0.8842,0.8751
SUP_QA_0129,Superalloys,multi,1,0.7152,0.748,0.5998,0.6954
SUP_QA_0130,Superalloys,multi,1,0.9573,0.9616,0.9585,0.9296
SUP_QA_0131,Superalloys,single,1,0.9847,0.8659,0.9551,0.8483
SUP_QA_0132,Superalloys,multi,1,0.995,0.9672,0.9827,0.9399
SEM_QA_0001,Semiconductors,single,1,0.7658,0.8779,0.6957,0.8429
SEM_QA_0002,Semiconductors,single,1,0.9948,0.9051,0.9424,0.8755
SEM_QA_0003,Semiconductors,single,1,0.773,0.8086,0.7133,0.7786
SEM_QA_0004,Semiconductors,single,1,0.9752,0.995,0.9547,0.9896
SEM_QA_0005,Semiconductors,multi,1,0.8967,0.8148,0.8751,0.7448
SEM_QA_0006,Semiconductors,multi,1,0.7537,0.8099,0.6763,0.7598
SEM_QA_0007,Semiconductors,single,1,0.8212,0.9089,0.7591,0.8522
SEM_QA_0008,Semiconductors,single,1,0.8876,0.869,0.7815,0.8387
SEM_QA_0009,Semiconductors,single,1,0.995,0.9571,0.9836,0.942
SEM_QA_0010,Semiconductors,single,1,0.7738,0.7741,0.7608,0.6631
SEM_QA_0011,Semiconductors,single,1,0.5014,0.4374,0.4712,0.2987
SEM_QA_0012,Semiconductors,single,1,0.995,0.8886,0.9836,0.8562
SEM_QA_0013,Semiconductors,multi,1,0.961,0.9712,0.9189,0.9558
SEM_QA_0014,Semiconductors,single,1,0.9192,0.9631,0.923,0.9305
SEM_QA_0015,Semiconductors,multi,1,0.9699,0.9899,0.9406,0.9711
SEM_QA_0016,Semiconductors,single,1,0.7858,0.6666,0.7236,0.5902
SEM_QA_0017,Semiconductors,single,1,0.9099,0.9339,0.8662,0.9123
SEM_QA_0018,Semiconductors,multi,1,0.9026,0.8223,0.8555,0.7826
SEM_QA_0019,Semiconductors,single,1,0.995,0.9479,0.964,0.9233
SEM_QA_0020,Semiconductors,single,1,0.8199,0.8968,0.7851,0.8665
SEM_QA_0021,Semiconductors,single,1,0.9086,0.9233,0.8733,0.8677
SEM_QA_0022,Semiconductors,single,1,0.9797,0.995,0.9542,0.9763
SEM_QA_0023,Semiconductors,single,1,0.7753,0.7739,0.7016,0.6994
SEM_QA_0024,Semiconductors,multi,1,0.757,0.6031,0.6787,0.4899
SEM_QA_0025,Semiconductors,single,1,0.9257,0.854,0.8923,0.8202
SEM_QA_0026,Semiconductors,single,1,0.9181,0.9291,0.8772,0.9037
SEM_QA_0027,Semiconductors,single,1,0.995,0.947,0.9643,0.9142
SEM_QA_0028,Semiconductors,multi,1,0.9786,0.953,0.9303,0.9419
SEM_QA_0029,Semiconductors,single,1,0.9356,0.8654,0.8877,0.8209
SEM_QA_0030,Semiconductors,single,1,0.7997,0.7346,0.7024,0.6554
SEM_QA_0031,Semiconductors,multi,1,0.9874,0.995,0.9364,0.9569
SEM_QA_0032,Semiconductors,single,1,0.9434,0.852,0.8968,0.8156
SEM_QA_0033,Semiconductors,multi,1,0.7757,0.7607,0.6737,0.655
SEM_QA_0034,Semiconductors,multi,1,0.8214,0.8748,0.7641,0.7921
SEM_QA_0035,Semiconductors,single,1,0.9733,0.995,0.9336,0.9674
SEM_QA_0036,Semiconductors,single,1,0.9935,0.972,0.9613,0.9561
SEM_QA_0037,Semiconductors,multi,1,0.9064,0.963,0.8846,0.95
SEM_QA_0038,Semiconductors,single,1,0.7596,0.5546,0.6334,0.434
SEM_QA_0039,Semiconductors,multi,1,0.7311,0.7505,0.6226,0.6547
SEM_QA_0040,Semiconductors,multi,1,0.852,0.8562,0.8025,0.8313
SEM_QA_0041,Semiconductors,single,1,0.9342,0.8602,0.8505,0.8051
SEM_QA_0042,Semiconductors,multi,1,0.995,0.9653,0.9836,0.9409
SEM_QA_0043,Semiconductors,multi,1,0.7917,0.8046,0.7375,0.7608
SEM_QA_0044,Semiconductors,multi,1,0.7157,0.7414,0.6021,0.6606
SEM_QA_0045,Semiconductors,single,1,0.8871,0.865,0.8527,0.8428
SEM_QA_0046,Semiconductors,single,1,0.8124,0.8445,0.7325,0.7869
SEM_QA_0047,Semiconductors,single,1,0.995,0.9932,0.9836,0.9896
SEM_QA_0048,Semiconductors,multi,1,0.8705,0.8889,0.7872,0.8279
SEM_QA_0049,Semiconductors,multi,1,0.64,0.5893,0.5348,0.4903
SEM_QA_0050,Semiconductors,single,1,0.8171,0.8996,0.7245,0.8431
SEM_QA_0051,Semiconductors,single,1,0.9914,0.8932,0.9257,0.8842
SEM_QA_0052,Semiconductors,single,1,0.9365,0.995,0.9076,0.9879
SEM_QA_0053,Semiconductors,single,1,0.6943,0.7871,0.6043,0.7104
SEM_QA_0054,Semiconductors,single,1,0.7587,0.6244,0.6907,0.535
SEM_QA_0055,Semiconductors,multi,1,0.6115,0.5722,0.5348,0.4305
SEM_QA_0056,Semiconductors,multi,1,0.9212,0.9573,0.8817,0.8983
SEM_QA_0057,Semiconductors,multi,1,0.8522,0.7544,0.8021,0.6629
SEM_QA_0058,Semiconductors,multi,1,0.9527,0.9758,0.9227,0.9601
SEM_QA_0059,Semiconductors,single,1,0.7382,0.7397,0.6677,0.6346
SEM_QA_0060,Semiconductors,single,1,0.8797,0.7175,0.8169,0.6075
SEM_QA_0061,Semiconductors,single,1,0.9205,0.9802,0.8532,0.9596
SEM_QA_0062,Semiconductors,single,1,0.9481,0.995,0.9225,0.9896
SEM_QA_0063,Semiconductors,multi,1,0.8708,0.9515,0.8158,0.9092
SEM_QA_0064,Semiconductors,multi,1,0.749,0.9043,0.651,0.826
SEM_QA_0065,Semiconductors,single,1,0.7625,0.712,0.6783,0.6216
SEM_QA_0066,Semiconductors,multi,1,0.8812,0.93,0.8134,0.8995
SEM_QA_0067,Semiconductors,single,1,0.9529,0.9596,0.9361,0.9326
SEM_QA_0068,Semiconductors,multi,1,0.9592,0.9566,0.9288,0.9456
SEM_QA_0069,Semiconductors,multi,1,0.995,0.8418,0.9459,0.7855
SEM_QA_0070,Semiconductors,single,1,0.9319,0.994,0.9163,0.9665
SEM_QA_0071,Semiconductors,single,1,0.9277,0.9114,0.8895,0.9096
SEM_QA_0072,Semiconductors,single,1,0.9143,0.9805,0.8779,0.9282
SEM_QA_0073,Semiconductors,single,1,0.9503,0.9664,0.9201,0.9705
SEM_QA_0074,Semiconductors,single,1,0.9353,0.9819,0.8932,0.9632
SEM_QA_0075,Semiconductors,single,1,0.8843,0.8863,0.827,0.8442
SEM_QA_0076,Semiconductors,multi,1,0.7791,0.7501,0.6847,0.7226
SEM_QA_0077,Semiconductors,single,1,0.9144,0.8925,0.8598,0.8358
SEM_QA_0078,Semiconductors,single,1,0.9541,0.9595,0.9226,0.9235
SEM_QA_0079,Semiconductors,multi,1,0.9233,0.9735,0.9063,0.91
SEM_QA_0080,Semiconductors,single,1,0.9262,0.8079,0.893,0.7733
SEM_QA_0081,Semiconductors,single,1,0.9646,0.9022,0.9173,0.8488
SEM_QA_0082,Semiconductors,single,1,0.9715,0.9652,0.9195,0.913
SEM_QA_0083,Semiconductors,single,1,0.737,0.6989,0.641,0.5984
SEM_QA_0084,Semiconductors,multi,1,0.809,0.8082,0.7216,0.7493
SEM_QA_0085,Semiconductors,single,1,0.9495,0.9439,0.9271,0.9593
SEM_QA_0086,Semiconductors,multi,1,0.7712,0.8401,0.6619,0.761
SEM_QA_0087,Semiconductors,multi,1,0.85,0.9784,0.8146,0.9207
SEM_QA_0088,Semiconductors,single,1,0.8508,0.9174,0.7804,0.9165
SEM_QA_0089,Semiconductors,single,1,0.8967,0.8849,0.8639,0.8393
SEM_QA_0090,Semiconductors,single,1,0.9337,0.9872,0.8839,0.9732
SEM_QA_0091,Semiconductors,single,1,0.754,0.6311,0.6706,0.5419
SEM_QA_0092,Semiconductors,single,1,0.915,0.8237,0.8318,0.755
SEM_QA_0093,Semiconductors,single,1,0.9842,0.9711,0.9548,0.9442
SEM_QA_0094,Semiconductors,single,1,0.9928,0.9733,0.9836,0.937
SEM_QA_0095,Semiconductors,multi,1,0.7504,0.7429,0.6125,0.6604
SEM_QA_0096,Semiconductors,multi,1,0.995,0.995,0.9371,0.9896
SEM_QA_0097,Semiconductors,single,1,0.9768,0.9884,0.9574,0.98
SEM_QA_0098,Semiconductors,single,1,0.9864,0.9864,0.9836,0.9552
SEM_QA_0099,Semiconductors,single,1,0.9847,0.9818,0.9291,0.9749
SEM_QA_0100,Semiconductors,multi,1,0.8645,0.9769,0.8267,0.9526
SEM_QA_0101,Semiconductors,single,1,0.9137,0.995,0.8683,0.9757
SEM_QA_0102,Semiconductors,single,1,0.9694,0.8827,0.9363,0.8091
SEM_QA_0103,Semiconductors,multi,1,0.9606,0.9945,0.9043,0.9896
SEM_QA_0104,Semiconductors,single,1,0.8699,0.7607,0.8137,0.6883
SEM_QA_0105,Semiconductors,multi,1,0.7926,0.8193,0.7122,0.7573
SEM_QA_0106,Semiconductors,multi,1,0.995,0.995,0.9519,0.9629
SEM_QA_0107,Semiconductors,single,1,0.9849,0.9685,0.9417,0.9581
SEM_QA_0108,Semiconductors,multi,1,0.7363,0.7735,0.6784,0.7478
SEM_QA_0109,Semiconductors,single,1,0.9306,0.9864,0.9221,0.9896
SEM_QA_0110,Semiconductors,multi,1,0.6233,0.7884,0.4888,0.6892
SEM_QA_0111,Semiconductors,single,1,0.9475,0.9412,0.9178,0.9234
SEM_QA_0112,Semiconductors,single,1,0.934,0.8775,0.9082,0.8624
SEM_QA_0113,Semiconductors,single,1,0.7943,0.9126,0.7576,0.8633
SEM_QA_0114,Semiconductors,single,1,0.9808,0.9589,0.9504,0.9627
SEM_QA_0115,Semiconductors,multi,1,0.8974,0.8251,0.8535,0.7428
SEM_QA_0116,Semiconductors,single,1,0.9795,0.9766,0.9493,0.9276
SEM_QA_0117,Semiconductors,multi,1,0.9274,0.956,0.9,0.9311
SEM_QA_0118,Semiconductors,single,1,0.9888,0.9859,0.9676,0.9371
SEM_QA_0119,Semiconductors,single,1,0.995,0.9667,0.9754,0.8962
SEM_QA_0120,Semiconductors,single,1,0.7764,0.866,0.6959,0.8148
SEM_QA_0121,Semiconductors,single,1,0.579,0.5955,0.4365,0.5186
SEM_QA_0122,Semiconductors,single,1,0.9657,0.8454,0.9316,0.8587
SEM_QA_0123,Semiconductors,single,1,0.8485,0.973,0.775,0.9541
SEM_QA_0124,Semiconductors,single,1,0.9339,0.9879,0.8988,0.9742
SEM_QA_0125,Semiconductors,single,1,0.9486,0.9777,0.919,0.9595
SEM_QA_0126,Semiconductors,multi,1,0.9009,0.9725,0.8711,0.9231
BAT_QA_0001,Batteries,single,1,0.8465,0.779,0.782,0.7574
BAT_QA_0002,Batteries,single,1,0.9765,0.995,0.9265,0.9748
BAT_QA_0003,Batteries,multi,1,0.9356,0.93,0.8789,0.8908
BAT_QA_0004,Batteries,single,1,0.8077,0.9446,0.7563,0.9345
BAT_QA_0005,Batteries,single,1,0.9874,0.9945,0.9641,0.9861
BAT_QA_0006,Batteries,single,1,0.9548,0.9729,0.9502,0.9497
BAT_QA_0007,Batteries,multi,1,0.9759,0.8544,0.9168,0.8015
BAT_QA_0008,Batteries,single,1,0.995,0.9593,0.9704,0.9437
BAT_QA_0009,Batteries,single,1,0.9587,0.9334,0.9217,0.9425
BAT_QA_0010,Batteries,single,1,0.9654,0.9289,0.9399,0.9374
BAT_QA_0011,Batteries,single,1,0.9491,0.916,0.908,0.8548
BAT_QA_0012,Batteries,single,1,0.8053,0.8258,0.7469,0.7747
BAT_QA_0013,Batteries,single,1,0.9347,0.9781,0.9284,0.9368
BAT_QA_0014,Batteries,multi,1,0.9459,0.8468,0.9074,0.8235
BAT_QA_0015,Batteries,multi,1,0.995,0.995,0.9836,0.9896
BAT_QA_0016,Batteries,single,1,0.5816,0.5307,0.5506,0.4215
BAT_QA_0017,Batteries,multi,1,0.6871,0.7795,0.5739,0.7702
BAT_QA_0018,Batteries,single,1,0.5641,0.5605,0.4266,0.5331
BAT_QA_0019,Batteries,single,1,0.9475,0.9599,0.8997,0.9462
BAT_QA_0020,Batteries,single,1,0.4764,0.4326,0.3312,0.2839
BAT_QA_0021,Batteries,single,1,0.6254,0.7434,0.6065,0.6308
BAT_QA_0022,Batteries,multi,1,0.7003,0.7287,0.5454,0.6292
BAT_QA_0023,Batteries,single,1,0.995,0.9371,0.9824,0.912
BAT_QA_0024,Batteries,single,1,0.8295,0.987,0.7839,0.9259
BAT_QA_0025,Batteries,single,1,0.995,0.977,0.9617,0.9681
BAT_QA_0026,Batteries,multi,1,0.803,0.8792,0.712,0.8285
BAT_QA_0027,Batteries,single,1,0.995,0.9645,0.9577,0.9506
BAT_QA_0028,Batteries,single,1,0.9308,0.9674,0.8845,0.9288
BAT_QA_0029,Batteries,single,1,0.995,0.9815,0.9836,0.9536
BAT_QA_0030,Batteries,single,1,0.9477,0.9709,0.9193,0.9419
BAT_QA_0031,Batteries,multi,1,0.9734,0.9366,0.9416,0.9195
BAT_QA_0032,Batteries,multi,1,0.9253,0.9675,0.8882,0.9257
BAT_QA_0033,Batteries,single,1,0.995,0.9489,0.9656,0.931
BAT_QA_0034,Batteries,single,1,0.8881,0.9367,0.8564,0.906
BAT_QA_0035,Batteries,multi,1,0.9648,0.9806,0.9389,0.9582
BAT_QA_0036,Batteries,single,1,0.98,0.9802,0.9592,0.9569
BAT_QA_0037,Batteries,multi,1,0.8224,0.757,0.7567,0.6718
BAT_QA_0038,Batteries,single,1,0.9559,0.9148,0.9385,0.882
BAT_QA_0039,Batteries,multi,1,0.8168,0.7896,0.7378,0.7359
BAT_QA_0040,Batteries,single,1,0.9675,0.9912,0.934,0.9887
BAT_QA_0041,Batteries,single,1,0.8538,0.6742,0.7608,0.5716
BAT_QA_0042,Batteries,multi,1,0.8134,0.9361,0.7579,0.8583
BAT_QA_0043,Batteries,single,1,0.8894,0.9216,0.8384,0.9201
BAT_QA_0044,Batteries,single,1,0.9474,0.9663,0.8933,0.9549
BAT_QA_0045,Batteries,multi,1,0.947,0.935,0.9202,0.923
BAT_QA_0046,Batteries,multi,1,0.6291,0.6744,0.6049,0.5871
BAT_QA_0047,Batteries,single,1,0.8674,0.9073,0.836,0.8756
BAT_QA_0048,Batteries,single,1,0.9889,0.9052,0.9485,0.8396
BAT_QA_0049,Batteries,single,1,0.9557,0.9052,0.9071,0.8695
BAT_QA_0050,Batteries,single,1,0.8531,0.7836,0.7859,0.7147
BAT_QA_0051,Batteries,single,1,0.6484,0.7172,0.6346,0.6097
BAT_QA_0052,Batteries,single,1,0.8823,0.8504,0.8359,0.8007
BAT_QA_0053,Batteries,single,1,0.7869,0.8369,0.7288,0.7804
BAT_QA_0054,Batteries,single,1,0.9501,0.9851,0.9268,0.9653
BAT_QA_0055,Batteries,single,1,0.8029,0.7496,0.731,0.6937
BAT_QA_0056,Batteries,single,1,0.937,0.8593,0.8894,0.7932
BAT_QA_0057,Batteries,multi,1,0.9257,0.8921,0.8639,0.8888
BAT_QA_0058,Batteries,single,1,0.9564,0.9198,0.9223,0.914
BAT_QA_0059,Batteries,single,1,0.963,0.9116,0.9323,0.8658
BAT_QA_0060,Batteries,multi,1,0.7296,0.7161,0.7012,0.6134
BAT_QA_0061,Batteries,single,1,0.7716,0.7551,0.688,0.6472
BAT_QA_0062,Batteries,multi,1,0.7812,0.6029,0.6917,0.4953
BAT_QA_0063,Batteries,single,1,0.995,0.8522,0.9683,0.809
BAT_QA_0064,Batteries,single,1,0.9591,0.9831,0.9288,0.9377
BAT_QA_0065,Batteries,single,1,0.9762,0.9775,0.9354,0.9653
BAT_QA_0066,Batteries,single,1,0.8049,0.8044,0.6653,0.7537
BAT_QA_0067,Batteries,single,1,0.8208,0.8556,0.7551,0.823
BAT_QA_0068,Batteries,multi,1,0.9642,0.8548,0.9314,0.8121
BAT_QA_0069,Batteries,single,1,0.755,0.6595,0.6226,0.5536
BAT_QA_0070,Batteries,multi,1,0.9383,0.9641,0.8976,0.9171
BAT_QA_0071,Batteries,single,1,0.9929,0.8278,0.9556,0.7977
BAT_QA_0072,Batteries,multi,1,0.9404,0.9164,0.8906,0.9036
BAT_QA_0073,Batteries,single,1,0.995,0.9939,0.9457,0.9739
BAT_QA_0074,Batteries,multi,1,0.7302,0.5833,0.6208,0.4535
BAT_QA_0075,Batteries,single,1,0.8721,0.941,0.8403,0.9348
BAT_QA_0076,Batteries,multi,1,0.8064,0.7073,0.7133,0.6198
BAT_QA_0077,Batteries,single,1,0.9874,0.995,0.9367,0.9745
BAT_QA_0078,Batteries,single,1,0.8942,0.9156,0.8363,0.87
BAT_QA_0079,Batteries,multi,1,0.8657,0.7349,0.787,0.6715
BAT_QA_0080,Batteries,single,1,0.9944,0.9873,0.9832,0.9643
BAT_QA_0081,Batteries,single,1,0.9325,0.905,0.8871,0.8547
BAT_QA_0082,Batteries,multi,1,0.963,0.9474,0.9344,0.8968
BAT_QA_0083,Batteries,single,1,0.6856,0.7659,0.5649,0.6838
BAT_QA_0084,Batteries,single,1,0.933,0.8763,0.9097,0.8268
BAT_QA_0085,Batteries,multi,1,0.8318,0.6562,0.7373,0.5586
BAT_QA_0086,Batteries,multi,1,0.8812,0.9862,0.8209,0.9611
BAT_QA_0087,Batteries,single,1,0.988,0.995,0.9383,0.9689
BAT_QA_0088,Batteries,single,1,0.8586,0.7932,0.8025,0.7299
BAT_QA_0089,Batteries,single,1,0.9541,0.9885,0.9261,0.9558
BAT_QA_0090,Batteries,single,1,0.9558,0.9864,0.9041,0.9443
